"Kod";"Nazwa";"ogółem;2018;[zł]";
1403000;"Powiat garwoliński";4150,96;
1404000;"Powiat gostyniński";3876,10;
1405000;"Powiat grodziski";4978,59;
1406000;"Powiat grójecki";4584,70;
1407000;"Powiat kozienicki";5488,52;
1408000;"Powiat legionowski";4433,54;
1409000;"Powiat lipski";3869,60;
1410000;"Powiat łosicki";3800,57;
1411000;"Powiat makowski";3789,60;
1412000;"Powiat miński";4084,49;
1413000;"Powiat mławski";3811,03;
1414000;"Powiat nowodworski";5486,64;
1415000;"Powiat ostrołęcki";4031,87;
1416000;"Powiat ostrowski";4020,31;
1417000;"Powiat otwocki";4503,30;
1418000;"Powiat piaseczyński";4739,75;
1419000;"Powiat płocki";4001,91;
1420000;"Powiat płoński";4117,68;
1421000;"Powiat pruszkowski";5757,06;
1422000;"Powiat przasnyski";4025,27;
1423000;"Powiat przysuski";3794,10;
1424000;"Powiat pułtuski";3838,23;
1425000;"Powiat radomski";3687,64;
1426000;"Powiat siedlecki";3709,87;
1427000;"Powiat sierpecki";3980,58;
1428000;"Powiat sochaczewski";4629,40;
1429000;"Powiat sokołowski";3992,80;
1430000;"Powiat szydłowiecki";3610,92;
1432000;"Powiat warszawski zachodni";5375,27;
1433000;"Powiat węgrowski";3978,57;
1434000;"Powiat wołomiński";4472,81;
1435000;"Powiat wyszkowski";3908,90;
1436000;"Powiat zwoleński";4026,66;
1437000;"Powiat żuromiński";3576,47;
1438000;"Powiat żyrardowski";4535,22;
1461000;"Powiat m.Ostrołęka";4832,05;
1462000;"Powiat m.Płock";5705,32;
1463000;"Powiat m.Radom";4388,04;
1464000;"Powiat m.Siedlce";4364,06;
1465000;"Powiat m. st. Warszawa";6432,78;
1600000;"OPOLSKIE";4379,25;
1601000;"Powiat brzeski";4227,04;
1602000;"Powiat głubczycki";3924,49;
1603000;"Powiat kędzierzyńsko-kozielski";4928,19;
1604000;"Powiat kluczborski";4159,52;
1605000;"Powiat krapkowicki";4858,78;
1606000;"Powiat namysłowski";4176,14;
1607000;"Powiat nyski";3875,88;
1608000;"Powiat oleski";3827,13;
1609000;"Powiat opolski";4018,89;
1610000;"Powiat prudnicki";3847,86;
1611000;"Powiat strzelecki";4049,69;
1661000;"Powiat m.Opole";4797,19;
1800000;"PODKARPACKIE";4089,81;
1801000;"Powiat bieszczadzki";3972,47;
1802000;"Powiat brzozowski";3714,87;
1803000;"Powiat dębicki";3965,70;
1804000;"Powiat jarosławski";3958,11;
1805000;"Powiat jasielski";3813,37;
1806000;"Powiat kolbuszowski";3611,09;
1807000;"Powiat krośnieński";3498,74;
1808000;"Powiat leżajski";3843,24;
1809000;"Powiat lubaczowski";3640,18;
1810000;"Powiat łańcucki";3621,06;
1811000;"Powiat mielecki";4289,29;
1812000;"Powiat niżański";3475,10;
1813000;"Powiat przemyski";3582,09;
1814000;"Powiat przeworski";3622,54;
1815000;"Powiat ropczycko-sędziszowski";3898,22;
1816000;"Powiat rzeszowski";3979,24;
1817000;"Powiat sanocki";3874,15;
1818000;"Powiat stalowowolski";4272,16;
1819000;"Powiat strzyżowski";3459,69;
1820000;"Powiat tarnobrzeski";4150,05;
1821000;"Powiat leski";4172,71;
1861000;"Powiat m.Krosno";3875,04;
1862000;"Powiat m.Przemyśl";3828,38;
1863000;"Powiat m.Rzeszów";4802,41;
1864000;"Powiat m.Tarnobrzeg";3808,19;
2000000;"PODLASKIE";4264,04;
2001000;"Powiat augustowski";4262,39;
2002000;"Powiat białostocki";3923,93;
2003000;"Powiat bielski";4953,29;
2004000;"Powiat grajewski";4556,32;
2005000;"Powiat hajnowski";4389,58;
2006000;"Powiat kolneński";3859,50;
2007000;"Powiat łomżyński";4368,68;
2008000;"Powiat moniecki";3933,72;
2009000;"Powiat sejneński";4092,18;
2010000;"Powiat siemiatycki";3773,68;
2011000;"Powiat sokólski";3951,21;
2012000;"Powiat suwalski";3762,50;
2013000;"Powiat wysokomazowiecki";4416,09;
2014000;"Powiat zambrowski";4196,08;
2061000;"Powiat m.Białystok";4396,32;
2062000;"Powiat m.Łomża";4056,02;
2063000;"Powiat m.Suwałki";4006,38;
2200000;"POMORSKIE";4794,74;
2201000;"Powiat bytowski";4214,69;
2202000;"Powiat chojnicki";3761,95;
2203000;"Powiat człuchowski";3979,20;
2204000;"Powiat gdański";4438,86;
2205000;"Powiat kartuski";3957,61;
2206000;"Powiat kościerski";3720,35;
2207000;"Powiat kwidzyński";4362,36;
2208000;"Powiat lęborski";4203,78;
2209000;"Powiat malborski";3868,76;
2210000;"Powiat nowodworski";4065,87;
2211000;"Powiat pucki";4198,77;
2212000;"Powiat słupski";4149,86;
2213000;"Powiat starogardzki";4323,80;
2214000;"Powiat tczewski";4392,16;
2215000;"Powiat wejherowski";4046,77;
2216000;"Powiat sztumski";3982,12;
2261000;"Powiat m.Gdańsk";5642,00;
2262000;"Powiat m.Gdynia";5347,46;
2263000;"Powiat m.Słupsk";4057,24;
