"Kod";"Nazwa";"odsetek zgonów wśród osób poniżej 60 roku życia;2018;[-]";
0000000;"POLSKA";15,2;
0200000;"DOLNOŚLĄSKIE";15,4;
0201000;"Powiat bolesławiecki";15,3;
0202000;"Powiat dzierżoniowski";13,8;
0203000;"Powiat głogowski";17,0;
0204000;"Powiat górowski";15,4;
0205000;"Powiat jaworski";16,1;
0206000;"Powiat jeleniogórski";15,3;
0207000;"Powiat kamiennogórski";14,6;
0208000;"Powiat kłodzki";16,8;
0209000;"Powiat legnicki";17,0;
0210000;"Powiat lubański";14,2;
0211000;"Powiat lubiński";18,1;
0212000;"Powiat lwówecki";16,8;
0213000;"Powiat milicki";15,9;
0214000;"Powiat oleśnicki";17,9;
0215000;"Powiat oławski";16,8;
0216000;"Powiat polkowicki";19,6;
0217000;"Powiat strzeliński";17,3;
0218000;"Powiat średzki";18,2;
0219000;"Powiat świdnicki";16,7;
0220000;"Powiat trzebnicki";17,4;
0221000;"Powiat wałbrzyski";18,1;
0222000;"Powiat wołowski";18,3;
0223000;"Powiat wrocławski";19,5;
0224000;"Powiat ząbkowicki";14,3;
0225000;"Powiat zgorzelecki";15,8;
0226000;"Powiat złotoryjski";14,5;
0261000;"Powiat m.Jelenia Góra";11,8;
0262000;"Powiat m.Legnica";15,9;
0264000;"Powiat m.Wrocław";12,3;
0265000;"Powiat m.Wałbrzych od 2013";15,7;
0400000;"KUJAWSKO-POMORSKIE";15,3;
0401000;"Powiat aleksandrowski";14,7;
0402000;"Powiat brodnicki";19,4;
0403000;"Powiat bydgoski";14,2;
0404000;"Powiat chełmiński";16,7;
0405000;"Powiat golubsko-dobrzyński";16,1;
0406000;"Powiat grudziądzki";17,9;
0407000;"Powiat inowrocławski";15,9;
0408000;"Powiat lipnowski";18,4;
0409000;"Powiat mogileński";14,5;
0410000;"Powiat nakielski";15,7;
0411000;"Powiat radziejowski";16,0;
0412000;"Powiat rypiński";19,7;
0413000;"Powiat sępoleński";16,2;
0414000;"Powiat świecki";16,6;
0415000;"Powiat toruński";16,3;
0416000;"Powiat tucholski";15,1;
0417000;"Powiat wąbrzeski";14,3;
0418000;"Powiat włocławski";17,6;
0419000;"Powiat żniński";13,8;
0461000;"Powiat m.Bydgoszcz";12,5;
0462000;"Powiat m.Grudziądz";14,5;
0463000;"Powiat m.Toruń";13,1;
0464000;"Powiat m.Włocławek";17,4;
0600000;"LUBELSKIE";14,7;
0601000;"Powiat bialski";13,4;
0602000;"Powiat biłgorajski";15,2;
0603000;"Powiat chełmski";14,5;
0604000;"Powiat hrubieszowski";15,3;
0605000;"Powiat janowski";13,2;
0606000;"Powiat krasnostawski";14,2;
0607000;"Powiat kraśnicki";13,1;
0608000;"Powiat lubartowski";16,0;
0609000;"Powiat lubelski";15,4;
0610000;"Powiat łęczyński";19,3;
0611000;"Powiat łukowski";17,7;
0612000;"Powiat opolski";13,4;
0613000;"Powiat parczewski";18,0;
0614000;"Powiat puławski";14,4;
0615000;"Powiat radzyński";15,6;
0616000;"Powiat rycki";12,2;
0617000;"Powiat świdnicki";13,7;
0618000;"Powiat tomaszowski";15,9;
0619000;"Powiat włodawski";14,1;
0620000;"Powiat zamojski";12,1;
0661000;"Powiat m.Biała Podlaska";18,4;
0662000;"Powiat m.Chełm";14,3;
0663000;"Powiat m.Lublin";14,6;
0664000;"Powiat m.Zamość";13,9;
0800000;"LUBUSKIE";16,4;
0801000;"Powiat gorzowski";19,3;
0802000;"Powiat krośnieński";18,3;
0803000;"Powiat międzyrzecki";18,9;
0804000;"Powiat nowosolski";16,7;
0805000;"Powiat słubicki";18,7;
0806000;"Powiat strzelecko-drezdenecki";17,1;
0807000;"Powiat sulęciński";16,4;
0808000;"Powiat świebodziński";17,6;
0809000;"Powiat zielonogórski";17,9;
0810000;"Powiat żagański";15,7;
0811000;"Powiat żarski";15,8;
0812000;"Powiat wschowski";14,8;
0861000;"Powiat m.Gorzów Wielkopolski";15,0;
0862000;"Powiat m.Zielona Góra";13,0;
1000000;"ŁÓDZKIE";15,7;
1001000;"Powiat bełchatowski";20,3;
1002000;"Powiat kutnowski";17,1;
1003000;"Powiat łaski";13,4;
1004000;"Powiat łęczycki";15,3;
1005000;"Powiat łowicki";15,6;
1006000;"Powiat łódzki wschodni";17,8;
1007000;"Powiat opoczyński";16,4;
1008000;"Powiat pabianicki";15,3;
1009000;"Powiat pajęczański";15,9;
1010000;"Powiat piotrkowski";17,7;
1011000;"Powiat poddębicki";17,6;
1012000;"Powiat radomszczański";16,3;
1013000;"Powiat rawski";17,1;
1014000;"Powiat sieradzki";15,6;
1015000;"Powiat skierniewicki";14,4;
1016000;"Powiat tomaszowski";16,2;
1017000;"Powiat wieluński";17,0;
1018000;"Powiat wieruszowski";13,8;
1019000;"Powiat zduńskowolski";17,2;
1020000;"Powiat zgierski";16,7;
1021000;"Powiat brzeziński";17,6;
1061000;"Powiat m.Łódź";13,9;
1062000;"Powiat m.Piotrków Trybunalski";17,4;
1063000;"Powiat m.Skierniewice";17,7;
1200000;"MAŁOPOLSKIE";14,0;
1201000;"Powiat bocheński";13,5;
1202000;"Powiat brzeski";15,0;
1203000;"Powiat chrzanowski";13,4;
1204000;"Powiat dąbrowski";18,1;
1205000;"Powiat gorlicki";14,1;
1206000;"Powiat krakowski";14,9;
1207000;"Powiat limanowski";15,5;
1208000;"Powiat miechowski";12,0;
1209000;"Powiat myślenicki";16,7;
1210000;"Powiat nowosądecki";16,1;
1211000;"Powiat nowotarski";17,0;
1212000;"Powiat olkuski";15,3;
1213000;"Powiat oświęcimski";15,7;
1214000;"Powiat proszowicki";15,3;
1215000;"Powiat suski";17,0;
1216000;"Powiat tarnowski";13,6;
1217000;"Powiat tatrzański";14,6;
1218000;"Powiat wadowicki";14,6;
1219000;"Powiat wielicki";15,8;
1261000;"Powiat m.Kraków";11,0;
1262000;"Powiat m.Nowy Sącz";12,2;
1263000;"Powiat m.Tarnów";12,0;
1400000;"MAZOWIECKIE";14,4;
1401000;"Powiat białobrzeski";17,6;
1402000;"Powiat ciechanowski";16,7;
1403000;"Powiat garwoliński";17,1;
1404000;"Powiat gostyniński";15,2;
1405000;"Powiat grodziski";13,7;
1406000;"Powiat grójecki";16,2;
1407000;"Powiat kozienicki";20,4;
1408000;"Powiat legionowski";15,5;
1409000;"Powiat lipski";15,7;
1410000;"Powiat łosicki";15,2;
1411000;"Powiat makowski";15,0;
