"Kod";"Nazwa";"odsetek zgonów wśród osób poniżej 60 roku życia;2018;[-]";
1412000;"Powiat miński";14,9;
1413000;"Powiat mławski";18,0;
1414000;"Powiat nowodworski";17,8;
1415000;"Powiat ostrołęcki";19,8;
1416000;"Powiat ostrowski";14,2;
1417000;"Powiat otwocki";12,7;
1418000;"Powiat piaseczyński";15,1;
1419000;"Powiat płocki";16,6;
1420000;"Powiat płoński";17,0;
1421000;"Powiat pruszkowski";14,9;
1422000;"Powiat przasnyski";17,4;
1423000;"Powiat przysuski";17,4;
1424000;"Powiat pułtuski";17,9;
1425000;"Powiat radomski";18,6;
1426000;"Powiat siedlecki";15,3;
1427000;"Powiat sierpecki";16,5;
1428000;"Powiat sochaczewski";18,4;
1429000;"Powiat sokołowski";13,0;
1430000;"Powiat szydłowiecki";16,0;
1432000;"Powiat warszawski zachodni";14,3;
1433000;"Powiat węgrowski";14,4;
1434000;"Powiat wołomiński";17,4;
1435000;"Powiat wyszkowski";16,7;
1436000;"Powiat zwoleński";14,1;
1437000;"Powiat żuromiński";16,0;
1438000;"Powiat żyrardowski";15,4;
1461000;"Powiat m.Ostrołęka";17,6;
1462000;"Powiat m.Płock";15,4;
1463000;"Powiat m.Radom";15,1;
1464000;"Powiat m.Siedlce";16,1;
1465000;"Powiat m. st. Warszawa";11,2;
1600000;"OPOLSKIE";15,1;
1601000;"Powiat brzeski";17,3;
1602000;"Powiat głubczycki";13,6;
1603000;"Powiat kędzierzyńsko-kozielski";16,2;
1604000;"Powiat kluczborski";17,9;
1605000;"Powiat krapkowicki";16,8;
1606000;"Powiat namysłowski";17,3;
1607000;"Powiat nyski";13,2;
1608000;"Powiat oleski";13,7;
1609000;"Powiat opolski";15,3;
1610000;"Powiat prudnicki";13,1;
1611000;"Powiat strzelecki";16,9;
1661000;"Powiat m.Opole";12,6;
1800000;"PODKARPACKIE";14,4;
1801000;"Powiat bieszczadzki";17,3;
1802000;"Powiat brzozowski";14,0;
1803000;"Powiat dębicki";15,0;
1804000;"Powiat jarosławski";15,1;
1805000;"Powiat jasielski";13,2;
1806000;"Powiat kolbuszowski";15,9;
1807000;"Powiat krośnieński";13,1;
1808000;"Powiat leżajski";15,3;
1809000;"Powiat lubaczowski";15,5;
1810000;"Powiat łańcucki";12,0;
1811000;"Powiat mielecki";14,5;
1812000;"Powiat niżański";15,1;
1813000;"Powiat przemyski";18,0;
1814000;"Powiat przeworski";13,6;
1815000;"Powiat ropczycko-sędziszowski";13,7;
1816000;"Powiat rzeszowski";13,5;
1817000;"Powiat sanocki";14,3;
1818000;"Powiat stalowowolski";14,6;
1819000;"Powiat strzyżowski";14,7;
1820000;"Powiat tarnobrzeski";14,9;
1821000;"Powiat leski";13,0;
1861000;"Powiat m.Krosno";11,4;
1862000;"Powiat m.Przemyśl";12,6;
1863000;"Powiat m.Rzeszów";14,8;
1864000;"Powiat m.Tarnobrzeg";17,1;
2000000;"PODLASKIE";14,8;
2001000;"Powiat augustowski";15,2;
2002000;"Powiat białostocki";14,9;
2003000;"Powiat bielski";11,3;
2004000;"Powiat grajewski";15,9;
2005000;"Powiat hajnowski";13,1;
2006000;"Powiat kolneński";15,1;
2007000;"Powiat łomżyński";17,0;
2008000;"Powiat moniecki";14,5;
2009000;"Powiat sejneński";11,7;
2010000;"Powiat siemiatycki";12,7;
2011000;"Powiat sokólski";14,3;
2012000;"Powiat suwalski";17,1;
2013000;"Powiat wysokomazowiecki";15,3;
2014000;"Powiat zambrowski";17,9;
2061000;"Powiat m.Białystok";14,3;
2062000;"Powiat m.Łomża";17,6;
2063000;"Powiat m.Suwałki";17,3;
2200000;"POMORSKIE";15,4;
2201000;"Powiat bytowski";16,5;
2202000;"Powiat chojnicki";15,5;
2203000;"Powiat człuchowski";17,5;
2204000;"Powiat gdański";17,5;
2205000;"Powiat kartuski";20,0;
2206000;"Powiat kościerski";20,3;
2207000;"Powiat kwidzyński";20,3;
2208000;"Powiat lęborski";18,9;
2209000;"Powiat malborski";14,3;
2210000;"Powiat nowodworski";16,1;
2211000;"Powiat pucki";17,7;
2212000;"Powiat słupski";21,9;
2213000;"Powiat starogardzki";17,6;
2214000;"Powiat tczewski";15,5;
2215000;"Powiat wejherowski";18,1;
2216000;"Powiat sztumski";18,4;
2261000;"Powiat m.Gdańsk";12,2;
2262000;"Powiat m.Gdynia";10,5;
2263000;"Powiat m.Słupsk";15,5;
2264000;"Powiat m.Sopot";8,3;
2400000;"ŚLĄSKIE";15,8;
2401000;"Powiat będziński";16,4;
2402000;"Powiat bielski";15,7;
2403000;"Powiat cieszyński";14,4;
2404000;"Powiat częstochowski";17,4;
2405000;"Powiat gliwicki";17,8;
2406000;"Powiat kłobucki";12,3;
2407000;"Powiat lubliniecki";15,0;
2408000;"Powiat mikołowski";15,9;
2409000;"Powiat myszkowski";13,9;
2410000;"Powiat pszczyński";19,1;
2411000;"Powiat raciborski";14,6;
2412000;"Powiat rybnicki";16,3;
2413000;"Powiat tarnogórski";15,1;
2414000;"Powiat bieruńsko-lędziński";18,0;
2415000;"Powiat wodzisławski";15,0;
2416000;"Powiat zawierciański";15,9;
2417000;"Powiat żywiecki";16,2;
2461000;"Powiat m.Bielsko-Biała";12,1;
2462000;"Powiat m.Bytom";17,3;
2463000;"Powiat m.Chorzów";16,5;
2464000;"Powiat m.Częstochowa";15,2;
2465000;"Powiat m.Dąbrowa Górnicza";15,6;
2466000;"Powiat m.Gliwice";14,0;
2467000;"Powiat m.Jastrzębie-Zdrój";17,8;
2468000;"Powiat m.Jaworzno";17,7;
2469000;"Powiat m.Katowice";14,2;
2470000;"Powiat m.Mysłowice";16,2;
2471000;"Powiat m.Piekary Śląskie";15,8;
2472000;"Powiat m.Ruda Śląska";17,0;
2473000;"Powiat m.Rybnik";18,8;
2474000;"Powiat m.Siemianowice Śląskie";15,9;
2475000;"Powiat m.Sosnowiec";15,9;
2476000;"Powiat m.Świętochłowice";16,8;
2477000;"Powiat m.Tychy";15,6;
2478000;"Powiat m.Zabrze";16,9;
2479000;"Powiat m.Żory";19,3;
2600000;"ŚWIĘTOKRZYSKIE";14,5;
2601000;"Powiat buski";12,1;
2602000;"Powiat jędrzejowski";15,7;
2603000;"Powiat kazimierski";11,4;
2604000;"Powiat kielecki";18,4;
2605000;"Powiat konecki";14,7;
2606000;"Powiat opatowski";14,0;
2607000;"Powiat ostrowiecki";14,3;
2608000;"Powiat pińczowski";14,8;
2609000;"Powiat sandomierski";13,4;
2610000;"Powiat skarżyski";12,3;
2611000;"Powiat starachowicki";16,4;
2612000;"Powiat staszowski";14,5;
2613000;"Powiat włoszczowski";12,3;
2661000;"Powiat m.Kielce";13,3;
2800000;"WARMIŃSKO-MAZURSKIE";17,3;
2801000;"Powiat bartoszycki";20,1;
2802000;"Powiat braniewski";18,1;
2803000;"Powiat działdowski";20,3;
2804000;"Powiat elbląski";17,8;
2805000;"Powiat ełcki";17,2;
2806000;"Powiat giżycki";18,5;
2807000;"Powiat iławski";16,6;
2808000;"Powiat kętrzyński";17,4;
2809000;"Powiat lidzbarski";16,3;
2810000;"Powiat mrągowski";17,6;
2811000;"Powiat nidzicki";20,9;
2812000;"Powiat nowomiejski";17,1;
2813000;"Powiat olecki";21,1;
2814000;"Powiat olsztyński";18,4;
2815000;"Powiat ostródzki";16,9;
2816000;"Powiat piski";18,2;
2817000;"Powiat szczycieński";18,5;
2818000;"Powiat gołdapski";19,3;
2819000;"Powiat węgorzewski";15,5;
2861000;"Powiat m.Elbląg";14,5;
2862000;"Powiat m.Olsztyn";13,8;
3000000;"WIELKOPOLSKIE";15,3;
3001000;"Powiat chodzieski";17,2;
3002000;"Powiat czarnkowsko-trzcianecki";17,5;
3003000;"Powiat gnieźnieński";15,6;
3004000;"Powiat gostyński";14,9;
3005000;"Powiat grodziski";15,2;
3006000;"Powiat jarociński";17,7;
3007000;"Powiat kaliski";18,2;
3008000;"Powiat kępiński";17,5;
3009000;"Powiat kolski";15,4;
3010000;"Powiat koniński";16,9;
3011000;"Powiat kościański";16,9;
3012000;"Powiat krotoszyński";15,9;
3013000;"Powiat leszczyński";18,0;
3014000;"Powiat międzychodzki";16,0;
3015000;"Powiat nowotomyski";16,3;
3016000;"Powiat obornicki";17,9;
3017000;"Powiat ostrowski";15,4;
3018000;"Powiat ostrzeszowski";18,7;
3019000;"Powiat pilski";15,6;
3020000;"Powiat pleszewski";15,6;
3021000;"Powiat poznański";15,5;
3022000;"Powiat rawicki";13,6;
3023000;"Powiat słupecki";14,0;
3024000;"Powiat szamotulski";17,3;
3025000;"Powiat średzki";16,5;
3026000;"Powiat śremski";15,6;
3027000;"Powiat turecki";16,5;
3028000;"Powiat wągrowiecki";13,8;
3029000;"Powiat wolsztyński";17,0;
3030000;"Powiat wrzesiński";18,7;
3031000;"Powiat złotowski";17,2;
3061000;"Powiat m.Kalisz";14,9;
3062000;"Powiat m.Konin";14,3;
3063000;"Powiat m.Leszno";14,6;
3064000;"Powiat m.Poznań";11,4;
3200000;"ZACHODNIOPOMORSKIE";15,3;
3201000;"Powiat białogardzki";18,4;
3202000;"Powiat choszczeński";19,4;
3203000;"Powiat drawski";18,5;
3204000;"Powiat goleniowski";14,2;
3205000;"Powiat gryficki";17,6;
3206000;"Powiat gryfiński";16,4;
3207000;"Powiat kamieński";15,7;
3208000;"Powiat kołobrzeski";15,0;
3209000;"Powiat koszaliński";18,3;
3210000;"Powiat myśliborski";16,6;
3211000;"Powiat policki";18,3;
3212000;"Powiat pyrzycki";17,6;
3213000;"Powiat sławieński";19,2;
3214000;"Powiat stargardzki";15,7;
3215000;"Powiat szczecinecki";15,0;
3216000;"Powiat świdwiński";17,7;
3217000;"Powiat wałecki";17,1;
3218000;"Powiat łobeski";18,6;
3261000;"Powiat m.Koszalin";12,2;
3262000;"Powiat m.Szczecin";12,2;
3263000;"Powiat m.Świnoujście";14,7;
