"Kod";"Nazwa";"ogółem;2017;[-]";
1011000;"Powiat poddębicki";1,5;
1012000;"Powiat radomszczański";1,9;
1013000;"Powiat rawski";1,4;
1014000;"Powiat sieradzki";1,3;
1015000;"Powiat skierniewicki";1,0;
1016000;"Powiat tomaszowski";1,7;
1017000;"Powiat wieluński";1,3;
1018000;"Powiat wieruszowski";1,6;
1019000;"Powiat zduńskowolski";2,1;
1020000;"Powiat zgierski";2,0;
1021000;"Powiat brzeziński";1,8;
1061000;"Powiat m.Łódź";1,9;
1062000;"Powiat m.Piotrków Trybunalski";2,3;
1063000;"Powiat m.Skierniewice";2,0;
1200000;"MAŁOPOLSKIE";1,3;
1201000;"Powiat bocheński";0,9;
1202000;"Powiat brzeski";1,2;
1203000;"Powiat chrzanowski";1,8;
1204000;"Powiat dąbrowski";0,9;
1205000;"Powiat gorlicki";0,9;
1206000;"Powiat krakowski";1,4;
1207000;"Powiat limanowski";0,8;
1208000;"Powiat miechowski";1,2;
1209000;"Powiat myślenicki";1,0;
1210000;"Powiat nowosądecki";0,6;
1211000;"Powiat nowotarski";0,9;
1212000;"Powiat olkuski";1,3;
1213000;"Powiat oświęcimski";1,5;
1214000;"Powiat proszowicki";1,2;
1215000;"Powiat suski";0,8;
1216000;"Powiat tarnowski";1,0;
1217000;"Powiat tatrzański";1,1;
1218000;"Powiat wadowicki";1,0;
1219000;"Powiat wielicki";1,3;
1261000;"Powiat m.Kraków";1,7;
1262000;"Powiat m.Nowy Sącz";1,7;
1263000;"Powiat m.Tarnów";1,9;
1400000;"MAZOWIECKIE";1,7;
1401000;"Powiat białobrzeski";1,1;
1402000;"Powiat ciechanowski";1,7;
1403000;"Powiat garwoliński";0,9;
1404000;"Powiat gostyniński";1,6;
1405000;"Powiat grodziski";1,7;
1406000;"Powiat grójecki";1,4;
1407000;"Powiat kozienicki";1,2;
1408000;"Powiat legionowski";2,2;
1409000;"Powiat lipski";0,8;
1410000;"Powiat łosicki";0,9;
1411000;"Powiat makowski";1,2;
1412000;"Powiat miński";1,5;
1413000;"Powiat mławski";1,5;
1414000;"Powiat nowodworski";1,7;
1415000;"Powiat ostrołęcki";1,0;
1416000;"Powiat ostrowski";1,1;
1417000;"Powiat otwocki";1,5;
1418000;"Powiat piaseczyński";1,9;
1419000;"Powiat płocki";1,3;
1420000;"Powiat płoński";1,8;
1421000;"Powiat pruszkowski";1,7;
1422000;"Powiat przasnyski";1,3;
1423000;"Powiat przysuski";0,6;
1424000;"Powiat pułtuski";1,4;
1425000;"Powiat radomski";1,0;
1426000;"Powiat siedlecki";1,1;
1427000;"Powiat sierpecki";1,5;
1428000;"Powiat sochaczewski";1,8;
1429000;"Powiat sokołowski";1,1;
1430000;"Powiat szydłowiecki";1,1;
1432000;"Powiat warszawski zachodni";1,7;
1433000;"Powiat węgrowski";1,0;
1434000;"Powiat wołomiński";1,7;
1435000;"Powiat wyszkowski";1,4;
1436000;"Powiat zwoleński";0,9;
1437000;"Powiat żuromiński";1,3;
1438000;"Powiat żyrardowski";1,8;
1461000;"Powiat m.Ostrołęka";2,2;
1462000;"Powiat m.Płock";2,4;
1463000;"Powiat m.Radom";1,9;
1464000;"Powiat m.Siedlce";1,9;
1465000;"Powiat m. st. Warszawa";2,0;
1600000;"OPOLSKIE";1,6;
1601000;"Powiat brzeski";1,8;
1602000;"Powiat głubczycki";1,5;
1603000;"Powiat kędzierzyńsko-kozielski";1,8;
1604000;"Powiat kluczborski";1,6;
1605000;"Powiat krapkowicki";1,5;
1606000;"Powiat namysłowski";1,9;
1607000;"Powiat nyski";1,8;
1608000;"Powiat oleski";1,1;
1609000;"Powiat opolski";1,3;
1610000;"Powiat prudnicki";1,3;
1611000;"Powiat strzelecki";1,3;
1661000;"Powiat m.Opole";2,0;
1800000;"PODKARPACKIE";1,2;
1801000;"Powiat bieszczadzki";1,2;
1802000;"Powiat brzozowski";0,7;
1803000;"Powiat dębicki";1,0;
1804000;"Powiat jarosławski";1,4;
1805000;"Powiat jasielski";1,0;
1806000;"Powiat kolbuszowski";0,7;
1807000;"Powiat krośnieński";1,0;
1808000;"Powiat leżajski";0,7;
1809000;"Powiat lubaczowski";1,4;
1810000;"Powiat łańcucki";1,0;
1811000;"Powiat mielecki";1,4;
1812000;"Powiat niżański";1,3;
1813000;"Powiat przemyski";0,8;
1814000;"Powiat przeworski";0,8;
1815000;"Powiat ropczycko-sędziszowski";0,9;
1816000;"Powiat rzeszowski";0,9;
1817000;"Powiat sanocki";1,3;
1818000;"Powiat stalowowolski";1,6;
1819000;"Powiat strzyżowski";0,7;
1820000;"Powiat tarnobrzeski";1,3;
1821000;"Powiat leski";1,1;
1861000;"Powiat m.Krosno";1,9;
1862000;"Powiat m.Przemyśl";1,7;
1863000;"Powiat m.Rzeszów";1,4;
1864000;"Powiat m.Tarnobrzeg";2,2;
2000000;"PODLASKIE";1,5;
2001000;"Powiat augustowski";1,3;
2002000;"Powiat białostocki";1,4;
2003000;"Powiat bielski";1,4;
2004000;"Powiat grajewski";1,4;
2005000;"Powiat hajnowski";1,6;
2006000;"Powiat kolneński";1,0;
2007000;"Powiat łomżyński";1,0;
2008000;"Powiat moniecki";1,1;
2009000;"Powiat sejneński";1,3;
2010000;"Powiat siemiatycki";1,1;
2011000;"Powiat sokólski";1,0;
2012000;"Powiat suwalski";0,8;
2013000;"Powiat wysokomazowiecki";1,0;
2014000;"Powiat zambrowski";1,6;
2061000;"Powiat m.Białystok";2,1;
2062000;"Powiat m.Łomża";1,9;
2063000;"Powiat m.Suwałki";1,9;
2200000;"POMORSKIE";1,6;
2201000;"Powiat bytowski";1,4;
2202000;"Powiat chojnicki";1,5;
2203000;"Powiat człuchowski";1,7;
2204000;"Powiat gdański";1,5;
2205000;"Powiat kartuski";1,2;
2206000;"Powiat kościerski";0,8;
2207000;"Powiat kwidzyński";1,4;
2208000;"Powiat lęborski";1,8;
2209000;"Powiat malborski";1,5;
2210000;"Powiat nowodworski";1,3;
2211000;"Powiat pucki";1,2;
2212000;"Powiat słupski";2,1;
2213000;"Powiat starogardzki";1,3;
2214000;"Powiat tczewski";1,4;
2215000;"Powiat wejherowski";1,4;
2216000;"Powiat sztumski";1,2;
2261000;"Powiat m.Gdańsk";2,0;
2262000;"Powiat m.Gdynia";1,7;
2263000;"Powiat m.Słupsk";2,1;
2264000;"Powiat m.Sopot";1,5;
2400000;"ŚLĄSKIE";1,8;
2401000;"Powiat będziński";1,9;
2402000;"Powiat bielski";1,5;
2403000;"Powiat cieszyński";1,7;
2404000;"Powiat częstochowski";1,1;
2405000;"Powiat gliwicki";1,4;
2406000;"Powiat kłobucki";1,3;
2407000;"Powiat lubliniecki";1,1;
2408000;"Powiat mikołowski";1,5;
2409000;"Powiat myszkowski";1,2;
2410000;"Powiat pszczyński";1,5;
2411000;"Powiat raciborski";1,4;
2412000;"Powiat rybnicki";1,6;
2413000;"Powiat tarnogórski";1,3;
2414000;"Powiat bieruńsko-lędziński";1,3;
2415000;"Powiat wodzisławski";1,5;
2416000;"Powiat zawierciański";1,6;
2417000;"Powiat żywiecki";1,4;
2461000;"Powiat m.Bielsko-Biała";2,4;
2462000;"Powiat m.Bytom";2,0;
2463000;"Powiat m.Chorzów";2,2;
2464000;"Powiat m.Częstochowa";1,8;
2465000;"Powiat m.Dąbrowa Górnicza";2,1;
2466000;"Powiat m.Gliwice";1,6;
2467000;"Powiat m.Jastrzębie-Zdrój";2,1;
2468000;"Powiat m.Jaworzno";2,1;
2469000;"Powiat m.Katowice";2,0;
2470000;"Powiat m.Mysłowice";2,2;
2471000;"Powiat m.Piekary Śląskie";1,8;
2472000;"Powiat m.Ruda Śląska";1,9;
2473000;"Powiat m.Rybnik";1,9;
2474000;"Powiat m.Siemianowice Śląskie";2,5;
2475000;"Powiat m.Sosnowiec";2,3;
2476000;"Powiat m.Świętochłowice";1,6;
2477000;"Powiat m.Tychy";2,0;
2478000;"Powiat m.Zabrze";1,5;
2479000;"Powiat m.Żory";2,1;
2600000;"ŚWIĘTOKRZYSKIE";1,4;
2601000;"Powiat buski";1,1;
2602000;"Powiat jędrzejowski";1,1;
2603000;"Powiat kazimierski";1,1;
2604000;"Powiat kielecki";1,1;
2605000;"Powiat konecki";1,1;
2606000;"Powiat opatowski";1,3;
2607000;"Powiat ostrowiecki";1,9;
2608000;"Powiat pińczowski";1,3;
2609000;"Powiat sandomierski";1,5;
2610000;"Powiat skarżyski";1,7;
2611000;"Powiat starachowicki";1,8;
2612000;"Powiat staszowski";1,4;
2613000;"Powiat włoszczowski";1,1;
2661000;"Powiat m.Kielce";1,8;
2800000;"WARMIŃSKO-MAZURSKIE";2,0;
2801000;"Powiat bartoszycki";1,7;
2802000;"Powiat braniewski";2,1;
2803000;"Powiat działdowski";1,9;
2804000;"Powiat elbląski";1,7;
2805000;"Powiat ełcki";2,0;
2806000;"Powiat giżycki";1,9;
2807000;"Powiat iławski";2,2;
2808000;"Powiat kętrzyński";1,7;
2809000;"Powiat lidzbarski";2,0;
2810000;"Powiat mrągowski";2,0;
2811000;"Powiat nidzicki";1,7;
2812000;"Powiat nowomiejski";1,5;
2813000;"Powiat olecki";1,9;
2814000;"Powiat olsztyński";1,6;
2815000;"Powiat ostródzki";2,2;
2816000;"Powiat piski";1,7;
2817000;"Powiat szczycieński";1,8;
2818000;"Powiat gołdapski";1,8;
2819000;"Powiat węgorzewski";1,5;
2861000;"Powiat m.Elbląg";2,4;
2862000;"Powiat m.Olsztyn";2,4;
3000000;"WIELKOPOLSKIE";1,7;
3001000;"Powiat chodzieski";1,8;
3002000;"Powiat czarnkowsko-trzcianecki";1,9;
3003000;"Powiat gnieźnieński";1,5;
3004000;"Powiat gostyński";1,8;
3005000;"Powiat grodziski";1,2;
3006000;"Powiat jarociński";1,4;
3007000;"Powiat kaliski";1,3;
3008000;"Powiat kępiński";1,1;
3009000;"Powiat kolski";1,8;
3010000;"Powiat koniński";1,5;
3011000;"Powiat kościański";1,8;
3012000;"Powiat krotoszyński";1,5;
3013000;"Powiat leszczyński";1,9;
3014000;"Powiat międzychodzki";1,2;
3015000;"Powiat nowotomyski";1,6;
3016000;"Powiat obornicki";1,2;
3017000;"Powiat ostrowski";1,7;
3018000;"Powiat ostrzeszowski";1,2;
3019000;"Powiat pilski";2,1;
3020000;"Powiat pleszewski";1,3;
3021000;"Powiat poznański";1,8;
3022000;"Powiat rawicki";1,6;
3023000;"Powiat słupecki";1,9;
3024000;"Powiat szamotulski";1,7;
3025000;"Powiat średzki";1,5;
3026000;"Powiat śremski";1,5;
3027000;"Powiat turecki";2,0;
3028000;"Powiat wągrowiecki";1,6;
3029000;"Powiat wolsztyński";1,2;
3030000;"Powiat wrzesiński";1,6;
3031000;"Powiat złotowski";1,9;
3061000;"Powiat m.Kalisz";2,0;
3062000;"Powiat m.Konin";2,4;
3063000;"Powiat m.Leszno";2,7;
3064000;"Powiat m.Poznań";1,7;
3200000;"ZACHODNIOPOMORSKIE";2,0;
3201000;"Powiat białogardzki";1,9;
3202000;"Powiat choszczeński";1,5;
3203000;"Powiat drawski";1,4;
3204000;"Powiat goleniowski";2,1;
3205000;"Powiat gryficki";1,8;
3206000;"Powiat gryfiński";2,2;
3207000;"Powiat kamieński";2,4;
3208000;"Powiat kołobrzeski";1,9;
3209000;"Powiat koszaliński";1,6;
3210000;"Powiat myśliborski";1,9;
3211000;"Powiat policki";2,4;
3212000;"Powiat pyrzycki";1,3;
3213000;"Powiat sławieński";1,5;
3214000;"Powiat stargardzki";2,1;
3215000;"Powiat szczecinecki";1,7;
3216000;"Powiat świdwiński";1,4;
3217000;"Powiat wałecki";1,5;
3218000;"Powiat łobeski";1,8;
3261000;"Powiat m.Koszalin";1,9;
3262000;"Powiat m.Szczecin";2,3;
3263000;"Powiat m.Świnoujście";2,3;
