"Kod";"Nazwa";"ogółem;2017;[-]";
0000000;"POLSKA";1,7;
0200000;"DOLNOŚLĄSKIE";2,0;
0201000;"Powiat bolesławiecki";2,0;
0202000;"Powiat dzierżoniowski";1,8;
0203000;"Powiat głogowski";2,1;
0204000;"Powiat górowski";1,8;
0205000;"Powiat jaworski";1,7;
0206000;"Powiat jeleniogórski";1,8;
0207000;"Powiat kamiennogórski";1,7;
0208000;"Powiat kłodzki";1,8;
0209000;"Powiat legnicki";2,1;
0210000;"Powiat lubański";1,7;
0211000;"Powiat lubiński";2,4;
0212000;"Powiat lwówecki";1,9;
0213000;"Powiat milicki";2,2;
0214000;"Powiat oleśnicki";1,9;
0215000;"Powiat oławski";2,2;
0216000;"Powiat polkowicki";1,8;
0217000;"Powiat strzeliński";1,6;
0218000;"Powiat średzki";1,8;
0219000;"Powiat świdnicki";1,8;
0220000;"Powiat trzebnicki";2,0;
0221000;"Powiat wałbrzyski";1,5;
0222000;"Powiat wołowski";2,0;
0223000;"Powiat wrocławski";2,1;
0224000;"Powiat ząbkowicki";1,4;
0225000;"Powiat zgorzelecki";2,0;
0226000;"Powiat złotoryjski";1,7;
0261000;"Powiat m.Jelenia Góra";2,1;
0262000;"Powiat m.Legnica";2,5;
0264000;"Powiat m.Wrocław";2,4;
0265000;"Powiat m.Wałbrzych od 2013";2,1;
0400000;"KUJAWSKO-POMORSKIE";1,9;
0401000;"Powiat aleksandrowski";1,5;
0402000;"Powiat brodnicki";1,7;
0403000;"Powiat bydgoski";2,1;
0404000;"Powiat chełmiński";1,7;
0405000;"Powiat golubsko-dobrzyński";1,9;
0406000;"Powiat grudziądzki";1,4;
0407000;"Powiat inowrocławski";2,1;
0408000;"Powiat lipnowski";1,2;
0409000;"Powiat mogileński";1,5;
0410000;"Powiat nakielski";1,8;
0411000;"Powiat radziejowski";1,1;
0412000;"Powiat rypiński";1,4;
0413000;"Powiat sępoleński";1,3;
0414000;"Powiat świecki";1,9;
0415000;"Powiat toruński";2,0;
0416000;"Powiat tucholski";1,8;
0417000;"Powiat wąbrzeski";1,5;
0418000;"Powiat włocławski";0,9;
0419000;"Powiat żniński";1,4;
0461000;"Powiat m.Bydgoszcz";2,2;
0462000;"Powiat m.Grudziądz";2,4;
0463000;"Powiat m.Toruń";2,2;
0464000;"Powiat m.Włocławek";1,9;
0600000;"LUBELSKIE";1,6;
0601000;"Powiat bialski";1,4;
0602000;"Powiat biłgorajski";1,1;
0603000;"Powiat chełmski";1,5;
0604000;"Powiat hrubieszowski";1,5;
0605000;"Powiat janowski";1,0;
0606000;"Powiat krasnostawski";1,4;
0607000;"Powiat kraśnicki";1,4;
0608000;"Powiat lubartowski";1,2;
0609000;"Powiat lubelski";1,4;
0610000;"Powiat łęczyński";1,7;
0611000;"Powiat łukowski";1,2;
0612000;"Powiat opolski";1,3;
0613000;"Powiat parczewski";1,6;
0614000;"Powiat puławski";1,9;
0615000;"Powiat radzyński";1,4;
0616000;"Powiat rycki";1,3;
0617000;"Powiat świdnicki";2,1;
0618000;"Powiat tomaszowski";1,3;
0619000;"Powiat włodawski";1,7;
0620000;"Powiat zamojski";1,3;
0661000;"Powiat m.Biała Podlaska";2,3;
0662000;"Powiat m.Chełm";2,4;
0663000;"Powiat m.Lublin";2,0;
0664000;"Powiat m.Zamość";1,8;
0800000;"LUBUSKIE";1,8;
0801000;"Powiat gorzowski";1,4;
0802000;"Powiat krośnieński";2,0;
0803000;"Powiat międzyrzecki";1,2;
0804000;"Powiat nowosolski";1,7;
0805000;"Powiat słubicki";1,8;
0806000;"Powiat strzelecko-drezdenecki";1,4;
0807000;"Powiat sulęciński";1,6;
0808000;"Powiat świebodziński";1,8;
0809000;"Powiat zielonogórski";1,8;
0810000;"Powiat żagański";1,8;
0811000;"Powiat żarski";1,9;
0812000;"Powiat wschowski";1,7;
0861000;"Powiat m.Gorzów Wielkopolski";2,0;
0862000;"Powiat m.Zielona Góra";2,2;
1000000;"ŁÓDZKIE";1,8;
1001000;"Powiat bełchatowski";2,2;
1002000;"Powiat kutnowski";1,9;
1003000;"Powiat łaski";2,0;
1004000;"Powiat łęczycki";1,5;
1005000;"Powiat łowicki";1,3;
1006000;"Powiat łódzki wschodni";1,8;
1007000;"Powiat opoczyński";1,3;
1008000;"Powiat pabianicki";1,8;
1009000;"Powiat pajęczański";1,2;
1010000;"Powiat piotrkowski";1,7;
