"Kod";"Nazwa";"odsetek zgonów wśród osób poniżej 60 roku życia;2016;[-]";
1412000;"Powiat miński";18,2;
1413000;"Powiat mławski";18,6;
1414000;"Powiat nowodworski";18,2;
1415000;"Powiat ostrołęcki";20,5;
1416000;"Powiat ostrowski";18,0;
1417000;"Powiat otwocki";16,9;
1418000;"Powiat piaseczyński";17,4;
1419000;"Powiat płocki";18,6;
1420000;"Powiat płoński";18,2;
1421000;"Powiat pruszkowski";14,8;
1422000;"Powiat przasnyski";16,2;
1423000;"Powiat przysuski";13,4;
1424000;"Powiat pułtuski";17,8;
1425000;"Powiat radomski";20,2;
1426000;"Powiat siedlecki";16,7;
1427000;"Powiat sierpecki";18,8;
1428000;"Powiat sochaczewski";19,9;
1429000;"Powiat sokołowski";14,2;
1430000;"Powiat szydłowiecki";16,5;
1432000;"Powiat warszawski zachodni";18,9;
1433000;"Powiat węgrowski";14,1;
1434000;"Powiat wołomiński";19,4;
1435000;"Powiat wyszkowski";19,8;
1436000;"Powiat zwoleński";16,5;
1437000;"Powiat żuromiński";17,9;
1438000;"Powiat żyrardowski";18,9;
1461000;"Powiat m.Ostrołęka";20,7;
1462000;"Powiat m.Płock";21,4;
1463000;"Powiat m.Radom";17,2;
1464000;"Powiat m.Siedlce";17,2;
1465000;"Powiat m. st. Warszawa";12,3;
1600000;"OPOLSKIE";16,5;
1601000;"Powiat brzeski";18,5;
1602000;"Powiat głubczycki";21,3;
1603000;"Powiat kędzierzyńsko-kozielski";16,5;
1604000;"Powiat kluczborski";15,4;
1605000;"Powiat krapkowicki";18,8;
1606000;"Powiat namysłowski";15,6;
1607000;"Powiat nyski";16,0;
1608000;"Powiat oleski";15,8;
1609000;"Powiat opolski";17,2;
1610000;"Powiat prudnicki";14,4;
1611000;"Powiat strzelecki";15,6;
1661000;"Powiat m.Opole";14,5;
1800000;"PODKARPACKIE";15,4;
1801000;"Powiat bieszczadzki";27,0;
1802000;"Powiat brzozowski";14,5;
1803000;"Powiat dębicki";16,7;
1804000;"Powiat jarosławski";15,8;
1805000;"Powiat jasielski";15,0;
1806000;"Powiat kolbuszowski";13,9;
1807000;"Powiat krośnieński";15,1;
1808000;"Powiat leżajski";15,9;
1809000;"Powiat lubaczowski";16,4;
1810000;"Powiat łańcucki";15,0;
1811000;"Powiat mielecki";17,4;
1812000;"Powiat niżański";16,9;
1813000;"Powiat przemyski";14,8;
1814000;"Powiat przeworski";11,3;
1815000;"Powiat ropczycko-sędziszowski";16,7;
1816000;"Powiat rzeszowski";16,3;
1817000;"Powiat sanocki";16,9;
1818000;"Powiat stalowowolski";15,4;
1819000;"Powiat strzyżowski";12,2;
1820000;"Powiat tarnobrzeski";16,1;
1821000;"Powiat leski";20,6;
1861000;"Powiat m.Krosno";10,9;
1862000;"Powiat m.Przemyśl";15,8;
1863000;"Powiat m.Rzeszów";13,5;
1864000;"Powiat m.Tarnobrzeg";14,3;
2000000;"PODLASKIE";16,2;
2001000;"Powiat augustowski";15,1;
2002000;"Powiat białostocki";14,8;
2003000;"Powiat bielski";14,5;
2004000;"Powiat grajewski";21,1;
2005000;"Powiat hajnowski";16,7;
2006000;"Powiat kolneński";18,2;
2007000;"Powiat łomżyński";14,8;
2008000;"Powiat moniecki";16,4;
2009000;"Powiat sejneński";14,5;
2010000;"Powiat siemiatycki";15,8;
2011000;"Powiat sokólski";16,0;
2012000;"Powiat suwalski";16,6;
2013000;"Powiat wysokomazowiecki";12,5;
2014000;"Powiat zambrowski";15,3;
2061000;"Powiat m.Białystok";16,5;
2062000;"Powiat m.Łomża";19,4;
2063000;"Powiat m.Suwałki";22,6;
2200000;"POMORSKIE";16,6;
2201000;"Powiat bytowski";20,9;
2202000;"Powiat chojnicki";17,6;
2203000;"Powiat człuchowski";17,9;
2204000;"Powiat gdański";17,7;
2205000;"Powiat kartuski";18,1;
2206000;"Powiat kościerski";18,9;
2207000;"Powiat kwidzyński";19,1;
2208000;"Powiat lęborski";19,7;
2209000;"Powiat malborski";20,4;
2210000;"Powiat nowodworski";16,0;
2211000;"Powiat pucki";21,0;
2212000;"Powiat słupski";22,8;
2213000;"Powiat starogardzki";16,9;
2214000;"Powiat tczewski";19,9;
2215000;"Powiat wejherowski";19,5;
2216000;"Powiat sztumski";18,2;
2261000;"Powiat m.Gdańsk";12,6;
2262000;"Powiat m.Gdynia";12,9;
2263000;"Powiat m.Słupsk";15,1;
2264000;"Powiat m.Sopot";12,1;
2400000;"ŚLĄSKIE";17,7;
2401000;"Powiat będziński";18,4;
2402000;"Powiat bielski";16,6;
2403000;"Powiat cieszyński";15,2;
2404000;"Powiat częstochowski";17,2;
2405000;"Powiat gliwicki";16,6;
2406000;"Powiat kłobucki";15,9;
2407000;"Powiat lubliniecki";14,0;
2408000;"Powiat mikołowski";18,7;
2409000;"Powiat myszkowski";15,6;
2410000;"Powiat pszczyński";20,8;
2411000;"Powiat raciborski";15,6;
2412000;"Powiat rybnicki";19,8;
2413000;"Powiat tarnogórski";17,6;
2414000;"Powiat bieruńsko-lędziński";19,6;
2415000;"Powiat wodzisławski";17,4;
2416000;"Powiat zawierciański";16,1;
2417000;"Powiat żywiecki";15,2;
2461000;"Powiat m.Bielsko-Biała";13,8;
2462000;"Powiat m.Bytom";20,9;
2463000;"Powiat m.Chorzów";17,5;
2464000;"Powiat m.Częstochowa";16,1;
2465000;"Powiat m.Dąbrowa Górnicza";19,8;
2466000;"Powiat m.Gliwice";16,5;
2467000;"Powiat m.Jastrzębie-Zdrój";20,4;
2468000;"Powiat m.Jaworzno";20,7;
2469000;"Powiat m.Katowice";16,6;
2470000;"Powiat m.Mysłowice";25,1;
2471000;"Powiat m.Piekary Śląskie";18,5;
2472000;"Powiat m.Ruda Śląska";18,9;
2473000;"Powiat m.Rybnik";17,8;
2474000;"Powiat m.Siemianowice Śląskie";21,0;
2475000;"Powiat m.Sosnowiec";18,1;
2476000;"Powiat m.Świętochłowice";24,6;
2477000;"Powiat m.Tychy";17,2;
2478000;"Powiat m.Zabrze";18,9;
2479000;"Powiat m.Żory";17,2;
2600000;"ŚWIĘTOKRZYSKIE";15,4;
2601000;"Powiat buski";16,4;
2602000;"Powiat jędrzejowski";13,4;
2603000;"Powiat kazimierski";14,7;
2604000;"Powiat kielecki";18,6;
2605000;"Powiat konecki";16,4;
2606000;"Powiat opatowski";16,9;
2607000;"Powiat ostrowiecki";16,7;
2608000;"Powiat pińczowski";13,2;
2609000;"Powiat sandomierski";14,2;
2610000;"Powiat skarżyski";15,0;
2611000;"Powiat starachowicki";14,3;
2612000;"Powiat staszowski";17,0;
2613000;"Powiat włoszczowski";14,4;
2661000;"Powiat m.Kielce";12,8;
2800000;"WARMIŃSKO-MAZURSKIE";19,4;
2801000;"Powiat bartoszycki";23,3;
2802000;"Powiat braniewski";17,9;
2803000;"Powiat działdowski";21,0;
2804000;"Powiat elbląski";21,8;
2805000;"Powiat ełcki";19,7;
2806000;"Powiat giżycki";17,9;
2807000;"Powiat iławski";16,9;
2808000;"Powiat kętrzyński";20,0;
2809000;"Powiat lidzbarski";13,6;
2810000;"Powiat mrągowski";21,2;
2811000;"Powiat nidzicki";19,7;
2812000;"Powiat nowomiejski";15,1;
2813000;"Powiat olecki";21,8;
2814000;"Powiat olsztyński";22,5;
2815000;"Powiat ostródzki";20,7;
2816000;"Powiat piski";22,7;
2817000;"Powiat szczycieński";21,3;
2818000;"Powiat gołdapski";21,1;
2819000;"Powiat węgorzewski";19,0;
2861000;"Powiat m.Elbląg";18,3;
2862000;"Powiat m.Olsztyn";15,6;
3000000;"WIELKOPOLSKIE";17,1;
3001000;"Powiat chodzieski";18,9;
3002000;"Powiat czarnkowsko-trzcianecki";17,4;
3003000;"Powiat gnieźnieński";18,4;
3004000;"Powiat gostyński";14,5;
3005000;"Powiat grodziski";19,3;
3006000;"Powiat jarociński";19,5;
3007000;"Powiat kaliski";15,4;
3008000;"Powiat kępiński";17,5;
3009000;"Powiat kolski";18,1;
3010000;"Powiat koniński";20,9;
3011000;"Powiat kościański";16,8;
3012000;"Powiat krotoszyński";16,5;
3013000;"Powiat leszczyński";14,4;
3014000;"Powiat międzychodzki";19,3;
3015000;"Powiat nowotomyski";18,5;
3016000;"Powiat obornicki";21,5;
3017000;"Powiat ostrowski";17,6;
3018000;"Powiat ostrzeszowski";18,1;
3019000;"Powiat pilski";19,8;
3020000;"Powiat pleszewski";18,2;
3021000;"Powiat poznański";18,5;
3022000;"Powiat rawicki";17,6;
3023000;"Powiat słupecki";15,9;
3024000;"Powiat szamotulski";18,9;
3025000;"Powiat średzki";19,2;
3026000;"Powiat śremski";18,5;
3027000;"Powiat turecki";19,9;
3028000;"Powiat wągrowiecki";19,2;
3029000;"Powiat wolsztyński";17,5;
3030000;"Powiat wrzesiński";19,8;
3031000;"Powiat złotowski";18,8;
3061000;"Powiat m.Kalisz";14,6;
3062000;"Powiat m.Konin";16,1;
3063000;"Powiat m.Leszno";18,8;
3064000;"Powiat m.Poznań";12,4;
3200000;"ZACHODNIOPOMORSKIE";17,4;
3201000;"Powiat białogardzki";16,8;
3202000;"Powiat choszczeński";17,0;
3203000;"Powiat drawski";19,2;
3204000;"Powiat goleniowski";20,6;
3205000;"Powiat gryficki";17,1;
3206000;"Powiat gryfiński";20,2;
3207000;"Powiat kamieński";19,3;
3208000;"Powiat kołobrzeski";17,1;
3209000;"Powiat koszaliński";22,4;
3210000;"Powiat myśliborski";17,9;
3211000;"Powiat policki";21,6;
3212000;"Powiat pyrzycki";17,1;
3213000;"Powiat sławieński";18,4;
3214000;"Powiat stargardzki";19,1;
3215000;"Powiat szczecinecki";17,8;
3216000;"Powiat świdwiński";20,5;
3217000;"Powiat wałecki";17,7;
3218000;"Powiat łobeski";20,5;
3261000;"Powiat m.Koszalin";14,4;
3262000;"Powiat m.Szczecin";14,2;
3263000;"Powiat m.Świnoujście";19,5;
