"Kod";"Nazwa";"odsetek zgonów wśród osób poniżej 60 roku życia;2016;[-]";
0000000;"POLSKA";16,8;
0200000;"DOLNOŚLĄSKIE";17,2;
0201000;"Powiat bolesławiecki";18,0;
0202000;"Powiat dzierżoniowski";15,8;
0203000;"Powiat głogowski";18,9;
0204000;"Powiat górowski";17,4;
0205000;"Powiat jaworski";17,0;
0206000;"Powiat jeleniogórski";17,3;
0207000;"Powiat kamiennogórski";19,1;
0208000;"Powiat kłodzki";19,3;
0209000;"Powiat legnicki";20,4;
0210000;"Powiat lubański";20,2;
0211000;"Powiat lubiński";19,9;
0212000;"Powiat lwówecki";15,5;
0213000;"Powiat milicki";18,0;
0214000;"Powiat oleśnicki";19,9;
0215000;"Powiat oławski";16,0;
0216000;"Powiat polkowicki";22,3;
0217000;"Powiat strzeliński";17,6;
0218000;"Powiat średzki";18,3;
0219000;"Powiat świdnicki";17,7;
0220000;"Powiat trzebnicki";19,6;
0221000;"Powiat wałbrzyski";13,7;
0222000;"Powiat wołowski";18,9;
0223000;"Powiat wrocławski";20,1;
0224000;"Powiat ząbkowicki";15,8;
0225000;"Powiat zgorzelecki";18,5;
0226000;"Powiat złotoryjski";20,1;
0261000;"Powiat m.Jelenia Góra";14,5;
0262000;"Powiat m.Legnica";15,5;
0264000;"Powiat m.Wrocław";14,0;
0265000;"Powiat m.Wałbrzych od 2013";18,5;
0400000;"KUJAWSKO-POMORSKIE";17,6;
0401000;"Powiat aleksandrowski";21,0;
0402000;"Powiat brodnicki";21,2;
0403000;"Powiat bydgoski";19,5;
0404000;"Powiat chełmiński";21,4;
0405000;"Powiat golubsko-dobrzyński";18,4;
0406000;"Powiat grudziądzki";17,7;
0407000;"Powiat inowrocławski";17,5;
0408000;"Powiat lipnowski";21,6;
0409000;"Powiat mogileński";16,4;
0410000;"Powiat nakielski";20,0;
0411000;"Powiat radziejowski";17,2;
0412000;"Powiat rypiński";18,3;
0413000;"Powiat sępoleński";16,2;
0414000;"Powiat świecki";16,6;
0415000;"Powiat toruński";18,2;
0416000;"Powiat tucholski";18,4;
0417000;"Powiat wąbrzeski";16,9;
0418000;"Powiat włocławski";18,8;
0419000;"Powiat żniński";18,3;
0461000;"Powiat m.Bydgoszcz";15,1;
0462000;"Powiat m.Grudziądz";16,8;
0463000;"Powiat m.Toruń";14,9;
0464000;"Powiat m.Włocławek";18,7;
0600000;"LUBELSKIE";15,6;
0601000;"Powiat bialski";15,1;
0602000;"Powiat biłgorajski";15,9;
0603000;"Powiat chełmski";18,8;
0604000;"Powiat hrubieszowski";14,3;
0605000;"Powiat janowski";12,4;
0606000;"Powiat krasnostawski";16,1;
0607000;"Powiat kraśnicki";15,0;
0608000;"Powiat lubartowski";14,9;
0609000;"Powiat lubelski";16,7;
0610000;"Powiat łęczyński";18,0;
0611000;"Powiat łukowski";17,6;
0612000;"Powiat opolski";17,7;
0613000;"Powiat parczewski";11,4;
0614000;"Powiat puławski";14,9;
0615000;"Powiat radzyński";15,3;
0616000;"Powiat rycki";17,5;
0617000;"Powiat świdnicki";16,9;
0618000;"Powiat tomaszowski";13,9;
0619000;"Powiat włodawski";15,9;
0620000;"Powiat zamojski";13,4;
0661000;"Powiat m.Biała Podlaska";20,8;
0662000;"Powiat m.Chełm";20,6;
0663000;"Powiat m.Lublin";13,5;
0664000;"Powiat m.Zamość";17,2;
0800000;"LUBUSKIE";18,8;
0801000;"Powiat gorzowski";20,4;
0802000;"Powiat krośnieński";22,7;
0803000;"Powiat międzyrzecki";21,0;
0804000;"Powiat nowosolski";18,4;
0805000;"Powiat słubicki";21,8;
0806000;"Powiat strzelecko-drezdenecki";19,6;
0807000;"Powiat sulęciński";20,4;
0808000;"Powiat świebodziński";17,5;
0809000;"Powiat zielonogórski";18,6;
0810000;"Powiat żagański";19,1;
0811000;"Powiat żarski";18,9;
0812000;"Powiat wschowski";19,1;
0861000;"Powiat m.Gorzów Wielkopolski";15,9;
0862000;"Powiat m.Zielona Góra";16,7;
1000000;"ŁÓDZKIE";17,5;
1001000;"Powiat bełchatowski";19,5;
1002000;"Powiat kutnowski";20,0;
1003000;"Powiat łaski";14,2;
1004000;"Powiat łęczycki";16,7;
1005000;"Powiat łowicki";16,5;
1006000;"Powiat łódzki wschodni";19,5;
1007000;"Powiat opoczyński";17,8;
1008000;"Powiat pabianicki";18,3;
1009000;"Powiat pajęczański";16,4;
1010000;"Powiat piotrkowski";18,2;
1011000;"Powiat poddębicki";16,7;
1012000;"Powiat radomszczański";18,7;
1013000;"Powiat rawski";22,0;
1014000;"Powiat sieradzki";18,4;
1015000;"Powiat skierniewicki";15,1;
1016000;"Powiat tomaszowski";16,3;
1017000;"Powiat wieluński";17,5;
1018000;"Powiat wieruszowski";15,3;
1019000;"Powiat zduńskowolski";21,3;
1020000;"Powiat zgierski";19,1;
1021000;"Powiat brzeziński";17,3;
1061000;"Powiat m.Łódź";16,0;
1062000;"Powiat m.Piotrków Trybunalski";19,4;
1063000;"Powiat m.Skierniewice";18,9;
1200000;"MAŁOPOLSKIE";15,1;
1201000;"Powiat bocheński";15,0;
1202000;"Powiat brzeski";14,5;
1203000;"Powiat chrzanowski";17,1;
1204000;"Powiat dąbrowski";14,5;
1205000;"Powiat gorlicki";17,8;
1206000;"Powiat krakowski";15,9;
1207000;"Powiat limanowski";16,7;
1208000;"Powiat miechowski";14,6;
1209000;"Powiat myślenicki";15,0;
1210000;"Powiat nowosądecki";16,8;
1211000;"Powiat nowotarski";17,7;
1212000;"Powiat olkuski";15,8;
1213000;"Powiat oświęcimski";15,7;
1214000;"Powiat proszowicki";10,7;
1215000;"Powiat suski";16,0;
1216000;"Powiat tarnowski";14,6;
1217000;"Powiat tatrzański";17,8;
1218000;"Powiat wadowicki";16,8;
1219000;"Powiat wielicki";16,3;
1261000;"Powiat m.Kraków";12,3;
1262000;"Powiat m.Nowy Sącz";16,3;
1263000;"Powiat m.Tarnów";13,6;
1400000;"MAZOWIECKIE";16,0;
1401000;"Powiat białobrzeski";19,8;
1402000;"Powiat ciechanowski";19,7;
1403000;"Powiat garwoliński";15,3;
1404000;"Powiat gostyniński";18,4;
1405000;"Powiat grodziski";15,3;
1406000;"Powiat grójecki";18,5;
1407000;"Powiat kozienicki";16,5;
1408000;"Powiat legionowski";17,7;
1409000;"Powiat lipski";16,9;
1410000;"Powiat łosicki";17,4;
1411000;"Powiat makowski";16,8;
