"Kod";"Nazwa";"ogółem;2017;[%]";
0806000;"Powiat strzelecko-drezdenecki";11,5;
0807000;"Powiat sulęciński";6,8;
0808000;"Powiat świebodziński";5,2;
0809000;"Powiat zielonogórski";6,9;
0810000;"Powiat żagański";11,3;
0811000;"Powiat żarski";6,4;
0812000;"Powiat wschowski";9,1;
0861000;"Powiat m.Gorzów Wielkopolski";2,7;
0862000;"Powiat m.Zielona Góra";3,4;
1000000;"ŁÓDZKIE";6,7;
1001000;"Powiat bełchatowski";6,0;
1002000;"Powiat kutnowski";9,5;
1003000;"Powiat łaski";9,5;
1004000;"Powiat łęczycki";8,2;
1005000;"Powiat łowicki";5,9;
1006000;"Powiat łódzki wschodni";8,1;
1007000;"Powiat opoczyński";6,2;
1008000;"Powiat pabianicki";7,8;
1009000;"Powiat pajęczański";7,8;
1010000;"Powiat piotrkowski";6,2;
1011000;"Powiat poddębicki";7,0;
1012000;"Powiat radomszczański";7,1;
1013000;"Powiat rawski";4,3;
1014000;"Powiat sieradzki";6,1;
1015000;"Powiat skierniewicki";4,2;
1016000;"Powiat tomaszowski";7,8;
1017000;"Powiat wieluński";7,2;
1018000;"Powiat wieruszowski";4,7;
1019000;"Powiat zduńskowolski";7,4;
1020000;"Powiat zgierski";7,8;
1021000;"Powiat brzeziński";7,6;
1061000;"Powiat m.Łódź";6,3;
1062000;"Powiat m.Piotrków Trybunalski";5,7;
1063000;"Powiat m.Skierniewice";6,2;
1200000;"MAŁOPOLSKIE";5,3;
1201000;"Powiat bocheński";5,2;
1202000;"Powiat brzeski";6,7;
1203000;"Powiat chrzanowski";8,8;
1204000;"Powiat dąbrowski";12,0;
1205000;"Powiat gorlicki";6,3;
1206000;"Powiat krakowski";4,6;
1207000;"Powiat limanowski";8,4;
1208000;"Powiat miechowski";5,4;
1209000;"Powiat myślenicki";3,0;
1210000;"Powiat nowosądecki";8,6;
1211000;"Powiat nowotarski";7,0;
1212000;"Powiat olkuski";8,2;
1213000;"Powiat oświęcimski";6,2;
1214000;"Powiat proszowicki";7,0;
1215000;"Powiat suski";4,8;
1216000;"Powiat tarnowski";8,0;
1217000;"Powiat tatrzański";10,3;
1218000;"Powiat wadowicki";5,6;
1219000;"Powiat wielicki";4,9;
1261000;"Powiat m.Kraków";2,7;
1262000;"Powiat m.Nowy Sącz";4,1;
1263000;"Powiat m.Tarnów";6,0;
1400000;"MAZOWIECKIE";5,6;
1401000;"Powiat białobrzeski";8,1;
1402000;"Powiat ciechanowski";10,9;
1403000;"Powiat garwoliński";9,9;
1404000;"Powiat gostyniński";16,4;
1405000;"Powiat grodziski";3,2;
1406000;"Powiat grójecki";2,4;
1407000;"Powiat kozienicki";11,3;
1408000;"Powiat legionowski";7,7;
1409000;"Powiat lipski";11,1;
1410000;"Powiat łosicki";6,3;
1411000;"Powiat makowski";18,6;
1412000;"Powiat miński";5,4;
1413000;"Powiat mławski";7,1;
1414000;"Powiat nowodworski";6,0;
1415000;"Powiat ostrołęcki";11,8;
1416000;"Powiat ostrowski";9,5;
1417000;"Powiat otwocki";4,9;
1418000;"Powiat piaseczyński";4,4;
1419000;"Powiat płocki";12,9;
1420000;"Powiat płoński";10,4;
1421000;"Powiat pruszkowski";3,9;
1422000;"Powiat przasnyski";9,8;
1423000;"Powiat przysuski";19,4;
1424000;"Powiat pułtuski";13,2;
1425000;"Powiat radomski";18,7;
1426000;"Powiat siedlecki";6,1;
1427000;"Powiat sierpecki";17,4;
1428000;"Powiat sochaczewski";7,0;
1429000;"Powiat sokołowski";6,5;
1430000;"Powiat szydłowiecki";25,7;
1432000;"Powiat warszawski zachodni";2,3;
1433000;"Powiat węgrowski";7,2;
1434000;"Powiat wołomiński";8,4;
1435000;"Powiat wyszkowski";5,3;
1436000;"Powiat zwoleński";11,9;
1437000;"Powiat żuromiński";15,3;
1438000;"Powiat żyrardowski";11,1;
1461000;"Powiat m.Ostrołęka";10,2;
1462000;"Powiat m.Płock";7,3;
1463000;"Powiat m.Radom";13,2;
1464000;"Powiat m.Siedlce";5,5;
1465000;"Powiat m. st. Warszawa";2,0;
1600000;"OPOLSKIE";7,3;
1601000;"Powiat brzeski";10,4;
1602000;"Powiat głubczycki";11,1;
1603000;"Powiat kędzierzyńsko-kozielski";9,1;
1604000;"Powiat kluczborski";8,1;
1605000;"Powiat krapkowicki";5,5;
1606000;"Powiat namysłowski";9,1;
1607000;"Powiat nyski";9,4;
1608000;"Powiat oleski";4,9;
1609000;"Powiat opolski";7,8;
1610000;"Powiat prudnicki";10,1;
1611000;"Powiat strzelecki";5,6;
1661000;"Powiat m.Opole";3,9;
1800000;"PODKARPACKIE";9,6;
1801000;"Powiat bieszczadzki";15,5;
1802000;"Powiat brzozowski";16,8;
1803000;"Powiat dębicki";6,9;
1804000;"Powiat jarosławski";13,1;
1805000;"Powiat jasielski";10,9;
1806000;"Powiat kolbuszowski";9,6;
1807000;"Powiat krośnieński";7,3;
1808000;"Powiat leżajski";14,7;
1809000;"Powiat lubaczowski";10,0;
1810000;"Powiat łańcucki";11,3;
1811000;"Powiat mielecki";5,5;
1812000;"Powiat niżański";17,5;
1813000;"Powiat przemyski";14,7;
1814000;"Powiat przeworski";13,9;
1815000;"Powiat ropczycko-sędziszowski";12,4;
1816000;"Powiat rzeszowski";9,3;
1817000;"Powiat sanocki";7,1;
1818000;"Powiat stalowowolski";6,1;
1819000;"Powiat strzyżowski";15,2;
1820000;"Powiat tarnobrzeski";7,8;
1821000;"Powiat leski";17,4;
1861000;"Powiat m.Krosno";3,3;
1862000;"Powiat m.Przemyśl";12,5;
1863000;"Powiat m.Rzeszów";5,4;
1864000;"Powiat m.Tarnobrzeg";9,7;
2000000;"PODLASKIE";8,5;
2001000;"Powiat augustowski";10,1;
2002000;"Powiat białostocki";10,1;
2003000;"Powiat bielski";6,1;
2004000;"Powiat grajewski";14,7;
2005000;"Powiat hajnowski";7,9;
2006000;"Powiat kolneński";15,4;
2007000;"Powiat łomżyński";8,2;
2008000;"Powiat moniecki";7,2;
2009000;"Powiat sejneński";13,4;
2010000;"Powiat siemiatycki";8,2;
2011000;"Powiat sokólski";11,2;
2012000;"Powiat suwalski";4,6;
2013000;"Powiat wysokomazowiecki";5,9;
2014000;"Powiat zambrowski";9,0;
2061000;"Powiat m.Białystok";7,0;
2062000;"Powiat m.Łomża";9,7;
2063000;"Powiat m.Suwałki";5,8;
2200000;"POMORSKIE";5,4;
2201000;"Powiat bytowski";10,5;
2202000;"Powiat chojnicki";9,3;
2203000;"Powiat człuchowski";12,3;
2204000;"Powiat gdański";4,5;
2205000;"Powiat kartuski";3,4;
2206000;"Powiat kościerski";6,7;
2207000;"Powiat kwidzyński";6,3;
2208000;"Powiat lęborski";8,0;
2209000;"Powiat malborski";13,0;
2210000;"Powiat nowodworski";13,9;
2211000;"Powiat pucki";8,0;
2212000;"Powiat słupski";8,2;
2213000;"Powiat starogardzki";5,7;
2214000;"Powiat tczewski";6,9;
2215000;"Powiat wejherowski";7,0;
2216000;"Powiat sztumski";10,7;
2261000;"Powiat m.Gdańsk";2,7;
2262000;"Powiat m.Gdynia";2,8;
2263000;"Powiat m.Słupsk";4,2;
2264000;"Powiat m.Sopot";2,1;
2400000;"ŚLĄSKIE";5,1;
2401000;"Powiat będziński";9,1;
2402000;"Powiat bielski";4,0;
2403000;"Powiat cieszyński";5,4;
2404000;"Powiat częstochowski";8,6;
2405000;"Powiat gliwicki";5,7;
2406000;"Powiat kłobucki";7,4;
2407000;"Powiat lubliniecki";6,7;
2408000;"Powiat mikołowski";3,3;
2409000;"Powiat myszkowski";7,6;
2410000;"Powiat pszczyński";3,4;
2411000;"Powiat raciborski";5,3;
2412000;"Powiat rybnicki";7,0;
2413000;"Powiat tarnogórski";6,4;
2414000;"Powiat bieruńsko-lędziński";2,8;
2415000;"Powiat wodzisławski";6,0;
2416000;"Powiat zawierciański";8,9;
2417000;"Powiat żywiecki";7,1;
2461000;"Powiat m.Bielsko-Biała";2,3;
2462000;"Powiat m.Bytom";11,3;
2463000;"Powiat m.Chorzów";5,9;
2464000;"Powiat m.Częstochowa";4,5;
2465000;"Powiat m.Dąbrowa Górnicza";6,0;
2466000;"Powiat m.Gliwice";3,6;
2467000;"Powiat m.Jastrzębie-Zdrój";5,5;
2468000;"Powiat m.Jaworzno";4,7;
2469000;"Powiat m.Katowice";2,2;
2470000;"Powiat m.Mysłowice";5,9;
2471000;"Powiat m.Piekary Śląskie";7,4;
2472000;"Powiat m.Ruda Śląska";4,1;
2473000;"Powiat m.Rybnik";4,4;
2474000;"Powiat m.Siemianowice Śląskie";6,2;
2475000;"Powiat m.Sosnowiec";7,7;
2476000;"Powiat m.Świętochłowice";8,2;
2477000;"Powiat m.Tychy";2,7;
2478000;"Powiat m.Zabrze";6,8;
2479000;"Powiat m.Żory";4,4;
2600000;"ŚWIĘTOKRZYSKIE";8,8;
2601000;"Powiat buski";4,6;
2602000;"Powiat jędrzejowski";7,6;
2603000;"Powiat kazimierski";8,1;
2604000;"Powiat kielecki";11,3;
2605000;"Powiat konecki";11,9;
2606000;"Powiat opatowski";14,2;
2607000;"Powiat ostrowiecki";12,3;
2608000;"Powiat pińczowski";6,7;
2609000;"Powiat sandomierski";7,5;
2610000;"Powiat skarżyski";15,6;
2611000;"Powiat starachowicki";9,0;
2612000;"Powiat staszowski";7,5;
2613000;"Powiat włoszczowski";6,9;
2661000;"Powiat m.Kielce";5,8;
2800000;"WARMIŃSKO-MAZURSKIE";11,7;
2801000;"Powiat bartoszycki";20,6;
2802000;"Powiat braniewski";22,2;
2803000;"Powiat działdowski";17,1;
2804000;"Powiat elbląski";18,0;
2805000;"Powiat ełcki";14,2;
2806000;"Powiat giżycki";10,6;
2807000;"Powiat iławski";4,8;
2808000;"Powiat kętrzyński";18,7;
2809000;"Powiat lidzbarski";16,9;
2810000;"Powiat mrągowski";11,5;
2811000;"Powiat nidzicki";8,9;
2812000;"Powiat nowomiejski";8,4;
2813000;"Powiat olecki";14,4;
2814000;"Powiat olsztyński";13,1;
2815000;"Powiat ostródzki";12,1;
2816000;"Powiat piski";16,5;
2817000;"Powiat szczycieński";11,5;
2818000;"Powiat gołdapski";12,0;
2819000;"Powiat węgorzewski";19,5;
2861000;"Powiat m.Elbląg";9,2;
2862000;"Powiat m.Olsztyn";4,5;
3000000;"WIELKOPOLSKIE";3,7;
3001000;"Powiat chodzieski";7,8;
3002000;"Powiat czarnkowsko-trzcianecki";5,0;
3003000;"Powiat gnieźnieński";6,1;
3004000;"Powiat gostyński";6,0;
3005000;"Powiat grodziski";4,3;
3006000;"Powiat jarociński";4,6;
3007000;"Powiat kaliski";2,8;
3008000;"Powiat kępiński";1,9;
3009000;"Powiat kolski";6,2;
3010000;"Powiat koniński";11,4;
3011000;"Powiat kościański";3,5;
3012000;"Powiat krotoszyński";3,7;
3013000;"Powiat leszczyński";3,1;
3014000;"Powiat międzychodzki";4,8;
3015000;"Powiat nowotomyski";2,2;
3016000;"Powiat obornicki";3,7;
3017000;"Powiat ostrowski";3,1;
3018000;"Powiat ostrzeszowski";4,4;
3019000;"Powiat pilski";5,3;
3020000;"Powiat pleszewski";3,7;
3021000;"Powiat poznański";1,7;
3022000;"Powiat rawicki";5,0;
3023000;"Powiat słupecki";8,2;
3024000;"Powiat szamotulski";3,7;
3025000;"Powiat średzki";5,9;
3026000;"Powiat śremski";2,5;
3027000;"Powiat turecki";4,3;
3028000;"Powiat wągrowiecki";6,4;
3029000;"Powiat wolsztyński";1,7;
3030000;"Powiat wrzesiński";3,5;
3031000;"Powiat złotowski";8,1;
3061000;"Powiat m.Kalisz";3,1;
3062000;"Powiat m.Konin";7,4;
3063000;"Powiat m.Leszno";3,9;
3064000;"Powiat m.Poznań";1,4;
3200000;"ZACHODNIOPOMORSKIE";8,5;
3201000;"Powiat białogardzki";19,4;
3202000;"Powiat choszczeński";17,8;
3203000;"Powiat drawski";16,9;
3204000;"Powiat goleniowski";6,1;
3205000;"Powiat gryficki";11,6;
3206000;"Powiat gryfiński";11,7;
3207000;"Powiat kamieński";16,6;
3208000;"Powiat kołobrzeski";4,7;
3209000;"Powiat koszaliński";13,6;
3210000;"Powiat myśliborski";8,9;
3211000;"Powiat policki";5,0;
3212000;"Powiat pyrzycki";13,0;
3213000;"Powiat sławieński";15,5;
3214000;"Powiat stargardzki";8,9;
3215000;"Powiat szczecinecki";16,5;
3216000;"Powiat świdwiński";16,0;
3217000;"Powiat wałecki";9,7;
3218000;"Powiat łobeski";21,2;
3261000;"Powiat m.Koszalin";5,4;
3262000;"Powiat m.Szczecin";3,1;
3263000;"Powiat m.Świnoujście";5,0;
