"Kod";"Nazwa";"ogółem;2017;[%]";
0000000;"POLSKA";6,6;
0200000;"DOLNOŚLĄSKIE";5,7;
0201000;"Powiat bolesławiecki";4,2;
0202000;"Powiat dzierżoniowski";7,4;
0203000;"Powiat głogowski";9,1;
0204000;"Powiat górowski";16,5;
0205000;"Powiat jaworski";13,5;
0206000;"Powiat jeleniogórski";9,2;
0207000;"Powiat kamiennogórski";7,5;
0208000;"Powiat kłodzki";12,5;
0209000;"Powiat legnicki";11,5;
0210000;"Powiat lubański";9,3;
0211000;"Powiat lubiński";5,0;
0212000;"Powiat lwówecki";13,0;
0213000;"Powiat milicki";7,8;
0214000;"Powiat oleśnicki";6,1;
0215000;"Powiat oławski";5,6;
0216000;"Powiat polkowicki";4,7;
0217000;"Powiat strzeliński";11,0;
0218000;"Powiat średzki";6,0;
0219000;"Powiat świdnicki";6,9;
0220000;"Powiat trzebnicki";6,7;
0221000;"Powiat wałbrzyski";14,3;
0222000;"Powiat wołowski";12,1;
0223000;"Powiat wrocławski";2,0;
0224000;"Powiat ząbkowicki";11,8;
0225000;"Powiat zgorzelecki";5,4;
0226000;"Powiat złotoryjski";16,0;
0261000;"Powiat m.Jelenia Góra";3,6;
0262000;"Powiat m.Legnica";5,5;
0264000;"Powiat m.Wrocław";2,1;
0265000;"Powiat m.Wałbrzych od 2013";7,2;
0400000;"KUJAWSKO-POMORSKIE";9,9;
0401000;"Powiat aleksandrowski";14,2;
0402000;"Powiat brodnicki";7,7;
0403000;"Powiat bydgoski";6,4;
0404000;"Powiat chełmiński";13,8;
0405000;"Powiat golubsko-dobrzyński";11,0;
0406000;"Powiat grudziądzki";14,2;
0407000;"Powiat inowrocławski";14,4;
0408000;"Powiat lipnowski";17,8;
0409000;"Powiat mogileński";11,5;
0410000;"Powiat nakielski";13,1;
0411000;"Powiat radziejowski";18,4;
0412000;"Powiat rypiński";11,8;
0413000;"Powiat sępoleński";14,2;
0414000;"Powiat świecki";8,5;
0415000;"Powiat toruński";12,3;
0416000;"Powiat tucholski";12,5;
0417000;"Powiat wąbrzeski";13,6;
0418000;"Powiat włocławski";18,5;
0419000;"Powiat żniński";12,2;
0461000;"Powiat m.Bydgoszcz";3,9;
0462000;"Powiat m.Grudziądz";10,6;
0463000;"Powiat m.Toruń";5,2;
0464000;"Powiat m.Włocławek";12,8;
0600000;"LUBELSKIE";8,8;
0601000;"Powiat bialski";10,2;
0602000;"Powiat biłgorajski";5,7;
0603000;"Powiat chełmski";14,0;
0604000;"Powiat hrubieszowski";14,3;
0605000;"Powiat janowski";8,4;
0606000;"Powiat krasnostawski";12,7;
0607000;"Powiat kraśnicki";11,1;
0608000;"Powiat lubartowski";11,9;
0609000;"Powiat lubelski";7,3;
0610000;"Powiat łęczyński";5,8;
0611000;"Powiat łukowski";5,0;
0612000;"Powiat opolski";9,1;
0613000;"Powiat parczewski";8,2;
0614000;"Powiat puławski";5,9;
0615000;"Powiat radzyński";8,1;
0616000;"Powiat rycki";9,4;
0617000;"Powiat świdnicki";10,2;
0618000;"Powiat tomaszowski";8,1;
0619000;"Powiat włodawski";16,5;
0620000;"Powiat zamojski";10,6;
0661000;"Powiat m.Biała Podlaska";11,2;
0662000;"Powiat m.Chełm";12,2;
0663000;"Powiat m.Lublin";6,2;
0664000;"Powiat m.Zamość";11,0;
0800000;"LUBUSKIE";6,5;
0801000;"Powiat gorzowski";4,8;
0802000;"Powiat krośnieński";11,3;
0803000;"Powiat międzyrzecki";13,4;
0804000;"Powiat nowosolski";10,5;
0805000;"Powiat słubicki";3,1;
