"Kod";"Nazwa";"ogółem;2017;[zł]";
0000000;"POLSKA";4527,89;
0200000;"DOLNOŚLĄSKIE";4654,51;
0201000;"Powiat bolesławiecki";3901,94;
0202000;"Powiat dzierżoniowski";3825,15;
0203000;"Powiat głogowski";3918,42;
0204000;"Powiat górowski";3484,31;
0205000;"Powiat jaworski";3756,46;
0206000;"Powiat jeleniogórski";3760,49;
0207000;"Powiat kamiennogórski";3661,88;
0208000;"Powiat kłodzki";3741,83;
0209000;"Powiat legnicki";3774,63;
0210000;"Powiat lubański";3622,21;
0211000;"Powiat lubiński";7515,99;
0212000;"Powiat lwówecki";3570,16;
0213000;"Powiat milicki";3617,72;
0214000;"Powiat oleśnicki";3857,75;
0215000;"Powiat oławski";4150,54;
0216000;"Powiat polkowicki";4794,62;
0217000;"Powiat strzeliński";4082,13;
0218000;"Powiat średzki";4389,17;
0219000;"Powiat świdnicki";4141,32;
0220000;"Powiat trzebnicki";3664,48;
0221000;"Powiat wałbrzyski";3638,59;
0222000;"Powiat wołowski";4651,04;
0223000;"Powiat wrocławski";4324,13;
0224000;"Powiat ząbkowicki";3583,79;
0225000;"Powiat zgorzelecki";3866,56;
0226000;"Powiat złotoryjski";4113,06;
0261000;"Powiat m.Jelenia Góra";4237,50;
0262000;"Powiat m.Legnica";3998,28;
0264000;"Powiat m.Wrocław";5070,35;
0265000;"Powiat m.Wałbrzych od 2013";4481,44;
0400000;"KUJAWSKO-POMORSKIE";3886,20;
0401000;"Powiat aleksandrowski";3399,70;
0402000;"Powiat brodnicki";3552,02;
0403000;"Powiat bydgoski";3933,52;
0404000;"Powiat chełmiński";3639,96;
0405000;"Powiat golubsko-dobrzyński";3926,17;
0406000;"Powiat grudziądzki";3748,43;
0407000;"Powiat inowrocławski";3626,17;
0408000;"Powiat lipnowski";3218,45;
0409000;"Powiat mogileński";3678,82;
0410000;"Powiat nakielski";3468,65;
0411000;"Powiat radziejowski";3378,02;
0412000;"Powiat rypiński";3464,17;
0413000;"Powiat sępoleński";3529,86;
0414000;"Powiat świecki";3882,92;
0415000;"Powiat toruński";3483,08;
0416000;"Powiat tucholski";3353,75;
0417000;"Powiat wąbrzeski";3741,15;
0418000;"Powiat włocławski";3503,37;
0419000;"Powiat żniński";3363,90;
0461000;"Powiat m.Bydgoszcz";4185,10;
0462000;"Powiat m.Grudziądz";3513,56;
0463000;"Powiat m.Toruń";4384,59;
0464000;"Powiat m.Włocławek";3941,33;
0600000;"LUBELSKIE";4020,25;
0601000;"Powiat bialski";3409,49;
0602000;"Powiat biłgorajski";3699,34;
0603000;"Powiat chełmski";3410,65;
0604000;"Powiat hrubieszowski";3572,95;
0605000;"Powiat janowski";3657,09;
0606000;"Powiat krasnostawski";3619,20;
0607000;"Powiat kraśnicki";3459,00;
0608000;"Powiat lubartowski";3419,63;
0609000;"Powiat lubelski";3527,13;
0610000;"Powiat łęczyński";5512,40;
0611000;"Powiat łukowski";3403,31;
0612000;"Powiat opolski";3490,05;
0613000;"Powiat parczewski";3565,96;
0614000;"Powiat puławski";4440,23;
0615000;"Powiat radzyński";3598,62;
0616000;"Powiat rycki";3544,04;
0617000;"Powiat świdnicki";4312,35;
0618000;"Powiat tomaszowski";3405,09;
0619000;"Powiat włodawski";3519,39;
0620000;"Powiat zamojski";3242,06;
0661000;"Powiat m.Biała Podlaska";3763,62;
0662000;"Powiat m.Chełm";3689,33;
0663000;"Powiat m.Lublin";4431,61;
0664000;"Powiat m.Zamość";3954,10;
0800000;"LUBUSKIE";3950,95;
0801000;"Powiat gorzowski";4090,10;
0802000;"Powiat krośnieński";3996,47;
0803000;"Powiat międzyrzecki";3768,95;
0804000;"Powiat nowosolski";3914,15;
0805000;"Powiat słubicki";3718,52;
0806000;"Powiat strzelecko-drezdenecki";3819,16;
0807000;"Powiat sulęciński";3468,90;
0808000;"Powiat świebodziński";3968,58;
0809000;"Powiat zielonogórski";4067,93;
0810000;"Powiat żagański";3587,59;
0811000;"Powiat żarski";4067,66;
0812000;"Powiat wschowski";3553,21;
0861000;"Powiat m.Gorzów Wielkopolski";3934,20;
0862000;"Powiat m.Zielona Góra";4173,04;
1000000;"ŁÓDZKIE";4141,94;
1001000;"Powiat bełchatowski";5926,37;
1002000;"Powiat kutnowski";3946,40;
1003000;"Powiat łaski";3227,11;
1004000;"Powiat łęczycki";3885,89;
1005000;"Powiat łowicki";3534,91;
1006000;"Powiat łódzki wschodni";3463,82;
1007000;"Powiat opoczyński";3427,90;
1008000;"Powiat pabianicki";3778,57;
1009000;"Powiat pajęczański";3672,03;
1010000;"Powiat piotrkowski";3436,14;
1011000;"Powiat poddębicki";4387,98;
1012000;"Powiat radomszczański";3406,71;
1013000;"Powiat rawski";3561,95;
1014000;"Powiat sieradzki";3648,13;
1015000;"Powiat skierniewicki";3612,61;
1016000;"Powiat tomaszowski";3554,59;
1017000;"Powiat wieluński";3640,03;
1018000;"Powiat wieruszowski";3267,25;
1019000;"Powiat zduńskowolski";3533,99;
1020000;"Powiat zgierski";4017,73;
1021000;"Powiat brzeziński";3071,31;
1061000;"Powiat m.Łódź";4462,50;
1062000;"Powiat m.Piotrków Trybunalski";3446,86;
1063000;"Powiat m.Skierniewice";3598,89;
1200000;"MAŁOPOLSKIE";4347,10;
1201000;"Powiat bocheński";3783,80;
1202000;"Powiat brzeski";3446,38;
1203000;"Powiat chrzanowski";3878,27;
1204000;"Powiat dąbrowski";3652,45;
1205000;"Powiat gorlicki";3430,00;
1206000;"Powiat krakowski";4858,15;
1207000;"Powiat limanowski";3438,40;
1208000;"Powiat miechowski";3436,12;
1209000;"Powiat myślenicki";3745,92;
1210000;"Powiat nowosądecki";3396,14;
1211000;"Powiat nowotarski";3400,75;
1212000;"Powiat olkuski";4139,68;
1213000;"Powiat oświęcimski";4048,20;
1214000;"Powiat proszowicki";3675,73;
1215000;"Powiat suski";3675,07;
1216000;"Powiat tarnowski";3308,87;
1217000;"Powiat tatrzański";3916,60;
1218000;"Powiat wadowicki";3495,69;
1219000;"Powiat wielicki";4164,18;
1261000;"Powiat m.Kraków";4966,20;
1262000;"Powiat m.Nowy Sącz";3578,27;
1263000;"Powiat m.Tarnów";3947,37;
1400000;"MAZOWIECKIE";5523,65;
1401000;"Powiat białobrzeski";3796,54;
1402000;"Powiat ciechanowski";4093,02;
1403000;"Powiat garwoliński";3893,41;
1404000;"Powiat gostyniński";3652,70;
1405000;"Powiat grodziski";4682,77;
1406000;"Powiat grójecki";4340,66;
1407000;"Powiat kozienicki";5164,02;
1408000;"Powiat legionowski";4166,59;
1409000;"Powiat lipski";3720,86;
1410000;"Powiat łosicki";3638,32;
1411000;"Powiat makowski";3593,25;
1412000;"Powiat miński";3858,75;
1413000;"Powiat mławski";3472,99;
1414000;"Powiat nowodworski";5042,02;
1415000;"Powiat ostrołęcki";3800,68;
1416000;"Powiat ostrowski";3870,99;
1417000;"Powiat otwocki";4159,58;
1418000;"Powiat piaseczyński";4102,07;
1419000;"Powiat płocki";3506,28;
1420000;"Powiat płoński";3866,14;
1421000;"Powiat pruszkowski";5405,38;
1422000;"Powiat przasnyski";3752,91;
1423000;"Powiat przysuski";3610,91;
1424000;"Powiat pułtuski";3609,92;
1425000;"Powiat radomski";3477,49;
1426000;"Powiat siedlecki";3522,32;
1427000;"Powiat sierpecki";3716,02;
1428000;"Powiat sochaczewski";4429,03;
1429000;"Powiat sokołowski";3684,06;
