"Kod";"Nazwa";"ogółem;2016;[zł]";
1016000;"Powiat tomaszowski";3295,07;
1017000;"Powiat wieluński";3383,38;
1018000;"Powiat wieruszowski";3094,11;
1019000;"Powiat zduńskowolski";3271,45;
1020000;"Powiat zgierski";3737,14;
1021000;"Powiat brzeziński";2901,50;
1061000;"Powiat m.Łódź";4230,12;
1062000;"Powiat m.Piotrków Trybunalski";3229,18;
1063000;"Powiat m.Skierniewice";3437,05;
1200000;"MAŁOPOLSKIE";4077,91;
1201000;"Powiat bocheński";3606,23;
1202000;"Powiat brzeski";3237,03;
1203000;"Powiat chrzanowski";3710,34;
1204000;"Powiat dąbrowski";3386,45;
1205000;"Powiat gorlicki";3178,84;
1206000;"Powiat krakowski";4509,18;
1207000;"Powiat limanowski";3259,44;
1208000;"Powiat miechowski";3249,28;
1209000;"Powiat myślenicki";3477,49;
1210000;"Powiat nowosądecki";3240,29;
1211000;"Powiat nowotarski";3190,67;
1212000;"Powiat olkuski";3866,38;
1213000;"Powiat oświęcimski";3808,61;
1214000;"Powiat proszowicki";3406,45;
1215000;"Powiat suski";3406,33;
1216000;"Powiat tarnowski";3155,92;
1217000;"Powiat tatrzański";3687,87;
1218000;"Powiat wadowicki";3281,91;
1219000;"Powiat wielicki";3942,56;
1261000;"Powiat m.Kraków";4635,26;
1262000;"Powiat m.Nowy Sącz";3416,14;
1263000;"Powiat m.Tarnów";3791,71;
1400000;"MAZOWIECKIE";5240,86;
1401000;"Powiat białobrzeski";3461,85;
1402000;"Powiat ciechanowski";3840,19;
1403000;"Powiat garwoliński";3776,65;
1404000;"Powiat gostyniński";3394,93;
1405000;"Powiat grodziski";4352,30;
1406000;"Powiat grójecki";4133,21;
1407000;"Powiat kozienicki";4930,22;
1408000;"Powiat legionowski";3975,24;
1409000;"Powiat lipski";3567,68;
1410000;"Powiat łosicki";3369,26;
1411000;"Powiat makowski";3359,63;
1412000;"Powiat miński";3600,49;
1413000;"Powiat mławski";3262,68;
1414000;"Powiat nowodworski";4790,57;
1415000;"Powiat ostrołęcki";3584,42;
1416000;"Powiat ostrowski";3562,19;
1417000;"Powiat otwocki";3952,57;
1418000;"Powiat piaseczyński";4149,91;
1419000;"Powiat płocki";3509,53;
1420000;"Powiat płoński";3696,36;
1421000;"Powiat pruszkowski";5153,53;
1422000;"Powiat przasnyski";3574,27;
1423000;"Powiat przysuski";3423,77;
1424000;"Powiat pułtuski";3399,46;
1425000;"Powiat radomski";3276,95;
1426000;"Powiat siedlecki";3353,98;
1427000;"Powiat sierpecki";3393,19;
1428000;"Powiat sochaczewski";4171,83;
1429000;"Powiat sokołowski";3427,41;
1430000;"Powiat szydłowiecki";3329,68;
1432000;"Powiat warszawski zachodni";4800,81;
1433000;"Powiat węgrowski";3396,09;
1434000;"Powiat wołomiński";3851,80;
1435000;"Powiat wyszkowski";3512,07;
1436000;"Powiat zwoleński";3480,17;
1437000;"Powiat żuromiński";3232,13;
1438000;"Powiat żyrardowski";4025,65;
1461000;"Powiat m.Ostrołęka";4349,17;
1462000;"Powiat m.Płock";5238,34;
1463000;"Powiat m.Radom";3851,41;
1464000;"Powiat m.Siedlce";3965,66;
1465000;"Powiat m. st. Warszawa";5739,61;
1600000;"OPOLSKIE";3927,04;
1601000;"Powiat brzeski";3642,69;
1602000;"Powiat głubczycki";3495,36;
1603000;"Powiat kędzierzyńsko-kozielski";4627,08;
1604000;"Powiat kluczborski";3641,66;
1605000;"Powiat krapkowicki";4270,15;
1606000;"Powiat namysłowski";3724,71;
1607000;"Powiat nyski";3440,51;
1608000;"Powiat oleski";3407,23;
1609000;"Powiat opolski";3549,59;
1610000;"Powiat prudnicki";3464,23;
1611000;"Powiat strzelecki";3699,13;
1661000;"Powiat m.Opole";4378,37;
1800000;"PODKARPACKIE";3653,67;
1801000;"Powiat bieszczadzki";3588,01;
1802000;"Powiat brzozowski";3285,48;
1803000;"Powiat dębicki";3525,09;
1804000;"Powiat jarosławski";3711,73;
1805000;"Powiat jasielski";3365,86;
1806000;"Powiat kolbuszowski";3309,67;
1807000;"Powiat krośnieński";3121,37;
1808000;"Powiat leżajski";3400,62;
1809000;"Powiat lubaczowski";3248,35;
1810000;"Powiat łańcucki";3236,11;
1811000;"Powiat mielecki";3699,88;
1812000;"Powiat niżański";3097,08;
1813000;"Powiat przemyski";3297,50;
1814000;"Powiat przeworski";3195,80;
1815000;"Powiat ropczycko-sędziszowski";3472,89;
1816000;"Powiat rzeszowski";3520,65;
1817000;"Powiat sanocki";3389,95;
1818000;"Powiat stalowowolski";3809,71;
1819000;"Powiat strzyżowski";3088,30;
1820000;"Powiat tarnobrzeski";3636,86;
1821000;"Powiat leski";3712,64;
1861000;"Powiat m.Krosno";3438,78;
1862000;"Powiat m.Przemyśl";3628,24;
1863000;"Powiat m.Rzeszów";4319,48;
1864000;"Powiat m.Tarnobrzeg";3395,51;
2000000;"PODLASKIE";3767,20;
2001000;"Powiat augustowski";3816,77;
2002000;"Powiat białostocki";3443,05;
2003000;"Powiat bielski";4272,54;
2004000;"Powiat grajewski";4017,84;
2005000;"Powiat hajnowski";3783,18;
2006000;"Powiat kolneński";3536,15;
2007000;"Powiat łomżyński";3837,54;
2008000;"Powiat moniecki";3483,37;
2009000;"Powiat sejneński";3686,01;
2010000;"Powiat siemiatycki";3345,77;
2011000;"Powiat sokólski";3499,04;
2012000;"Powiat suwalski";3173,63;
2013000;"Powiat wysokomazowiecki";3735,63;
2014000;"Powiat zambrowski";3660,67;
2061000;"Powiat m.Białystok";3967,71;
2062000;"Powiat m.Łomża";3444,02;
2063000;"Powiat m.Suwałki";3493,66;
2200000;"POMORSKIE";4274,73;
2201000;"Powiat bytowski";3602,02;
2202000;"Powiat chojnicki";3275,78;
2203000;"Powiat człuchowski";3480,17;
2204000;"Powiat gdański";3950,76;
2205000;"Powiat kartuski";3477,69;
2206000;"Powiat kościerski";3285,04;
2207000;"Powiat kwidzyński";3890,63;
2208000;"Powiat lęborski";3705,38;
2209000;"Powiat malborski";3496,46;
2210000;"Powiat nowodworski";3563,66;
2211000;"Powiat pucki";3779,75;
2212000;"Powiat słupski";3642,86;
2213000;"Powiat starogardzki";3643,85;
2214000;"Powiat tczewski";3960,08;
2215000;"Powiat wejherowski";3554,31;
2216000;"Powiat sztumski";3512,00;
2261000;"Powiat m.Gdańsk";5118,59;
2262000;"Powiat m.Gdynia";4798,54;
2263000;"Powiat m.Słupsk";3620,36;
2264000;"Powiat m.Sopot";5104,38;
2400000;"ŚLĄSKIE";4295,29;
2401000;"Powiat będziński";3586,29;
2402000;"Powiat bielski";3739,69;
2403000;"Powiat cieszyński";3565,79;
2404000;"Powiat częstochowski";3372,48;
2405000;"Powiat gliwicki";3564,05;
2406000;"Powiat kłobucki";3070,12;
2407000;"Powiat lubliniecki";3558,10;
2408000;"Powiat mikołowski";3753,81;
2409000;"Powiat myszkowski";3454,79;
2410000;"Powiat pszczyński";3465,69;
2411000;"Powiat raciborski";3864,61;
2412000;"Powiat rybnicki";3685,58;
2413000;"Powiat tarnogórski";3745,06;
2414000;"Powiat bieruńsko-lędziński";3791,25;
2415000;"Powiat wodzisławski";3261,93;
2416000;"Powiat zawierciański";3840,22;
2417000;"Powiat żywiecki";4100,84;
2461000;"Powiat m.Bielsko-Biała";4245,15;
2462000;"Powiat m.Bytom";4024,91;
2463000;"Powiat m.Chorzów";3904,00;
2464000;"Powiat m.Częstochowa";3743,93;
2465000;"Powiat m.Dąbrowa Górnicza";4802,04;
2466000;"Powiat m.Gliwice";4832,33;
2467000;"Powiat m.Jastrzębie-Zdrój";6131,62;
2468000;"Powiat m.Jaworzno";5314,60;
2469000;"Powiat m.Katowice";5274,86;
2470000;"Powiat m.Mysłowice";3872,43;
2471000;"Powiat m.Piekary Śląskie";4235,29;
2472000;"Powiat m.Ruda Śląska";3719,66;
2473000;"Powiat m.Rybnik";3884,81;
2474000;"Powiat m.Siemianowice Śląskie";3844,70;
2475000;"Powiat m.Sosnowiec";3770,76;
2476000;"Powiat m.Świętochłowice";3353,91;
2477000;"Powiat m.Tychy";4141,97;
2478000;"Powiat m.Zabrze";4029,87;
2479000;"Powiat m.Żory";3747,77;
2600000;"ŚWIĘTOKRZYSKIE";3669,57;
2601000;"Powiat buski";3400,24;
2602000;"Powiat jędrzejowski";3994,49;
2603000;"Powiat kazimierski";3240,31;
2604000;"Powiat kielecki";3289,77;
2605000;"Powiat konecki";3492,59;
2606000;"Powiat opatowski";3278,64;
2607000;"Powiat ostrowiecki";3423,02;
2608000;"Powiat pińczowski";3460,81;
2609000;"Powiat sandomierski";3753,75;
2610000;"Powiat skarżyski";3629,75;
2611000;"Powiat starachowicki";3444,11;
2612000;"Powiat staszowski";3939,91;
2613000;"Powiat włoszczowski";3591,87;
2661000;"Powiat m.Kielce";3920,24;
2800000;"WARMIŃSKO-MAZURSKIE";3619,16;
2801000;"Powiat bartoszycki";3449,70;
2802000;"Powiat braniewski";3352,72;
2803000;"Powiat działdowski";3302,85;
2804000;"Powiat elbląski";3323,73;
2805000;"Powiat ełcki";3286,44;
2806000;"Powiat giżycki";3446,45;
2807000;"Powiat iławski";3307,79;
2808000;"Powiat kętrzyński";3256,93;
2809000;"Powiat lidzbarski";3350,85;
2810000;"Powiat mrągowski";3193,85;
2811000;"Powiat nidzicki";3205,87;
2812000;"Powiat nowomiejski";3013,66;
2813000;"Powiat olecki";3430,34;
2814000;"Powiat olsztyński";3635,09;
2815000;"Powiat ostródzki";3392,59;
2816000;"Powiat piski";3561,61;
2817000;"Powiat szczycieński";3538,21;
2818000;"Powiat gołdapski";3149,86;
2819000;"Powiat węgorzewski";3160,33;
2861000;"Powiat m.Elbląg";3806,42;
2862000;"Powiat m.Olsztyn";4254,72;
3000000;"WIELKOPOLSKIE";3894,10;
3001000;"Powiat chodzieski";3532,53;
3002000;"Powiat czarnkowsko-trzcianecki";3699,41;
3003000;"Powiat gnieźnieński";3528,01;
3004000;"Powiat gostyński";3557,77;
3005000;"Powiat grodziski";3006,21;
3006000;"Powiat jarociński";3066,45;
3007000;"Powiat kaliski";3145,60;
3008000;"Powiat kępiński";2658,47;
3009000;"Powiat kolski";3808,90;
3010000;"Powiat koniński";3335,85;
3011000;"Powiat kościański";3491,93;
3012000;"Powiat krotoszyński";3202,47;
3013000;"Powiat leszczyński";3924,99;
3014000;"Powiat międzychodzki";3406,58;
3015000;"Powiat nowotomyski";3768,93;
3016000;"Powiat obornicki";3867,54;
3017000;"Powiat ostrowski";3576,57;
3018000;"Powiat ostrzeszowski";3509,40;
3019000;"Powiat pilski";3772,08;
3020000;"Powiat pleszewski";3399,21;
3021000;"Powiat poznański";3855,60;
3022000;"Powiat rawicki";3182,07;
3023000;"Powiat słupecki";3317,41;
3024000;"Powiat szamotulski";4196,53;
3025000;"Powiat średzki";3785,23;
3026000;"Powiat śremski";3411,22;
3027000;"Powiat turecki";3167,19;
3028000;"Powiat wągrowiecki";3488,88;
3029000;"Powiat wolsztyński";3315,96;
3030000;"Powiat wrzesiński";3607,50;
3031000;"Powiat złotowski";3221,67;
3061000;"Powiat m.Kalisz";3648,00;
3062000;"Powiat m.Konin";3785,02;
3063000;"Powiat m.Leszno";3406,02;
3064000;"Powiat m.Poznań";4770,94;
3200000;"ZACHODNIOPOMORSKIE";3946,28;
3201000;"Powiat białogardzki";3607,49;
3202000;"Powiat choszczeński";3514,69;
3203000;"Powiat drawski";3197,08;
3204000;"Powiat goleniowski";3872,80;
3205000;"Powiat gryficki";3333,02;
3206000;"Powiat gryfiński";3682,14;
3207000;"Powiat kamieński";3329,25;
3208000;"Powiat kołobrzeski";3504,44;
3209000;"Powiat koszaliński";3558,15;
3210000;"Powiat myśliborski";3543,66;
3211000;"Powiat policki";4506,56;
3212000;"Powiat pyrzycki";3429,38;
3213000;"Powiat sławieński";3252,37;
3214000;"Powiat stargardzki";3609,29;
3215000;"Powiat szczecinecki";3705,74;
3216000;"Powiat świdwiński";3223,10;
3217000;"Powiat wałecki";3557,62;
3218000;"Powiat łobeski";3594,16;
3261000;"Powiat m.Koszalin";3820,63;
3262000;"Powiat m.Szczecin";4539,15;
3263000;"Powiat m.Świnoujście";4306,81;
