"Kod";"Nazwa";"ogółem;2016;[zł]";
0000000;"POLSKA";4290,52;
0200000;"DOLNOŚLĄSKIE";4385,84;
0201000;"Powiat bolesławiecki";3666,19;
0202000;"Powiat dzierżoniowski";3562,63;
0203000;"Powiat głogowski";3723,59;
0204000;"Powiat górowski";3386,93;
0205000;"Powiat jaworski";3546,24;
0206000;"Powiat jeleniogórski";3548,55;
0207000;"Powiat kamiennogórski";3460,07;
0208000;"Powiat kłodzki";3526,67;
0209000;"Powiat legnicki";3579,41;
0210000;"Powiat lubański";3431,31;
0211000;"Powiat lubiński";7170,21;
0212000;"Powiat lwówecki";3420,20;
0213000;"Powiat milicki";3349,75;
0214000;"Powiat oleśnicki";3631,94;
0215000;"Powiat oławski";3881,26;
0216000;"Powiat polkowicki";4478,18;
0217000;"Powiat strzeliński";3725,39;
0218000;"Powiat średzki";4029,00;
0219000;"Powiat świdnicki";3887,57;
0220000;"Powiat trzebnicki";3437,11;
0221000;"Powiat wałbrzyski";3528,00;
0222000;"Powiat wołowski";4202,10;
0223000;"Powiat wrocławski";3964,54;
0224000;"Powiat ząbkowicki";3434,23;
0225000;"Powiat zgorzelecki";3680,53;
0226000;"Powiat złotoryjski";3922,04;
0261000;"Powiat m.Jelenia Góra";3979,80;
0262000;"Powiat m.Legnica";3728,92;
0264000;"Powiat m.Wrocław";4800,54;
0265000;"Powiat m.Wałbrzych od 2013";4180,67;
0400000;"KUJAWSKO-POMORSKIE";3672,98;
0401000;"Powiat aleksandrowski";3170,04;
0402000;"Powiat brodnicki";3348,46;
0403000;"Powiat bydgoski";3656,85;
0404000;"Powiat chełmiński";3435,24;
0405000;"Powiat golubsko-dobrzyński";3675,99;
0406000;"Powiat grudziądzki";3564,13;
0407000;"Powiat inowrocławski";3427,27;
0408000;"Powiat lipnowski";3056,40;
0409000;"Powiat mogileński";3398,81;
0410000;"Powiat nakielski";3321,17;
0411000;"Powiat radziejowski";3190,28;
0412000;"Powiat rypiński";3272,60;
0413000;"Powiat sępoleński";3324,28;
0414000;"Powiat świecki";3630,37;
0415000;"Powiat toruński";3298,27;
0416000;"Powiat tucholski";3154,01;
0417000;"Powiat wąbrzeski";3478,59;
0418000;"Powiat włocławski";3269,66;
0419000;"Powiat żniński";3140,27;
0461000;"Powiat m.Bydgoszcz";3950,95;
0462000;"Powiat m.Grudziądz";3323,90;
0463000;"Powiat m.Toruń";4170,83;
0464000;"Powiat m.Włocławek";3770,16;
0600000;"LUBELSKIE";3815,95;
0601000;"Powiat bialski";3184,04;
0602000;"Powiat biłgorajski";3530,69;
0603000;"Powiat chełmski";3333,95;
0604000;"Powiat hrubieszowski";3425,56;
0605000;"Powiat janowski";3485,33;
0606000;"Powiat krasnostawski";3412,40;
0607000;"Powiat kraśnicki";3327,58;
0608000;"Powiat lubartowski";3237,98;
0609000;"Powiat lubelski";3308,85;
0610000;"Powiat łęczyński";5294,68;
0611000;"Powiat łukowski";3238,34;
0612000;"Powiat opolski";3344,45;
0613000;"Powiat parczewski";3352,33;
0614000;"Powiat puławski";4160,35;
0615000;"Powiat radzyński";3387,21;
0616000;"Powiat rycki";3339,39;
0617000;"Powiat świdnicki";4109,67;
0618000;"Powiat tomaszowski";3256,18;
0619000;"Powiat włodawski";3389,98;
0620000;"Powiat zamojski";3243,03;
0661000;"Powiat m.Biała Podlaska";3782,03;
0662000;"Powiat m.Chełm";3537,53;
0663000;"Powiat m.Lublin";4169,46;
0664000;"Powiat m.Zamość";3794,50;
0800000;"LUBUSKIE";3734,90;
0801000;"Powiat gorzowski";3882,12;
0802000;"Powiat krośnieński";3835,52;
0803000;"Powiat międzyrzecki";3583,99;
0804000;"Powiat nowosolski";3661,03;
0805000;"Powiat słubicki";3683,72;
0806000;"Powiat strzelecko-drezdenecki";3689,38;
0807000;"Powiat sulęciński";3161,56;
0808000;"Powiat świebodziński";3712,08;
0809000;"Powiat zielonogórski";3810,06;
0810000;"Powiat żagański";3428,40;
0811000;"Powiat żarski";3925,75;
0812000;"Powiat wschowski";3359,68;
0861000;"Powiat m.Gorzów Wielkopolski";3670,29;
0862000;"Powiat m.Zielona Góra";3919,96;
1000000;"ŁÓDZKIE";3925,10;
1001000;"Powiat bełchatowski";5778,97;
1002000;"Powiat kutnowski";3685,59;
1003000;"Powiat łaski";3041,80;
1004000;"Powiat łęczycki";3725,91;
1005000;"Powiat łowicki";3337,54;
1006000;"Powiat łódzki wschodni";3256,75;
1007000;"Powiat opoczyński";3263,60;
1008000;"Powiat pabianicki";3539,63;
1009000;"Powiat pajęczański";3530,89;
1010000;"Powiat piotrkowski";3196,29;
1011000;"Powiat poddębicki";4094,44;
1012000;"Powiat radomszczański";3220,16;
1013000;"Powiat rawski";3366,71;
1014000;"Powiat sieradzki";3453,10;
1015000;"Powiat skierniewicki";3467,73;
