"Kod";"Nazwa";"ogółem;2016;[-]";
1411000;"Powiat makowski";1,4;
1412000;"Powiat miński";1,6;
1413000;"Powiat mławski";1,2;
1414000;"Powiat nowodworski";1,8;
1415000;"Powiat ostrołęcki";1,2;
1416000;"Powiat ostrowski";1,3;
1417000;"Powiat otwocki";1,5;
1418000;"Powiat piaseczyński";1,8;
1419000;"Powiat płocki";0,9;
1420000;"Powiat płoński";1,4;
1421000;"Powiat pruszkowski";1,5;
1422000;"Powiat przasnyski";1,4;
1423000;"Powiat przysuski";0,8;
1424000;"Powiat pułtuski";1,5;
1425000;"Powiat radomski";1,1;
1426000;"Powiat siedlecki";0,9;
1427000;"Powiat sierpecki";1,3;
1428000;"Powiat sochaczewski";1,4;
1429000;"Powiat sokołowski";1,5;
1430000;"Powiat szydłowiecki";1,5;
1432000;"Powiat warszawski zachodni";1,6;
1433000;"Powiat węgrowski";1,3;
1434000;"Powiat wołomiński";1,7;
1435000;"Powiat wyszkowski";1,5;
1436000;"Powiat zwoleński";1,2;
1437000;"Powiat żuromiński";0,7;
1438000;"Powiat żyrardowski";1,5;
1461000;"Powiat m.Ostrołęka";2,2;
1462000;"Powiat m.Płock";1,7;
1463000;"Powiat m.Radom";2,2;
1464000;"Powiat m.Siedlce";2,1;
1465000;"Powiat m. st. Warszawa";1,8;
1600000;"OPOLSKIE";1,4;
1601000;"Powiat brzeski";1,5;
1602000;"Powiat głubczycki";1,6;
1603000;"Powiat kędzierzyńsko-kozielski";1,2;
1604000;"Powiat kluczborski";1,4;
1605000;"Powiat krapkowicki";1,4;
1606000;"Powiat namysłowski";1,5;
1607000;"Powiat nyski";1,6;
1608000;"Powiat oleski";1,0;
1609000;"Powiat opolski";1,2;
1610000;"Powiat prudnicki";1,5;
1611000;"Powiat strzelecki";1,0;
1661000;"Powiat m.Opole";2,0;
1800000;"PODKARPACKIE";1,2;
1801000;"Powiat bieszczadzki";1,8;
1802000;"Powiat brzozowski";1,2;
1803000;"Powiat dębicki";1,1;
1804000;"Powiat jarosławski";1,4;
1805000;"Powiat jasielski";1,2;
1806000;"Powiat kolbuszowski";0,6;
1807000;"Powiat krośnieński";1,3;
1808000;"Powiat leżajski";0,9;
1809000;"Powiat lubaczowski";1,0;
1810000;"Powiat łańcucki";1,0;
1811000;"Powiat mielecki";0,9;
1812000;"Powiat niżański";0,8;
1813000;"Powiat przemyski";0,8;
1814000;"Powiat przeworski";0,8;
1815000;"Powiat ropczycko-sędziszowski";0,8;
1816000;"Powiat rzeszowski";0,9;
1817000;"Powiat sanocki";1,7;
1818000;"Powiat stalowowolski";1,2;
1819000;"Powiat strzyżowski";1,0;
1820000;"Powiat tarnobrzeski";0,9;
1821000;"Powiat leski";1,5;
1861000;"Powiat m.Krosno";1,9;
1862000;"Powiat m.Przemyśl";2,0;
1863000;"Powiat m.Rzeszów";1,8;
1864000;"Powiat m.Tarnobrzeg";1,2;
2000000;"PODLASKIE";1,5;
2001000;"Powiat augustowski";1,4;
2002000;"Powiat białostocki";1,2;
2003000;"Powiat bielski";1,7;
2004000;"Powiat grajewski";1,8;
2005000;"Powiat hajnowski";1,3;
2006000;"Powiat kolneński";1,1;
2007000;"Powiat łomżyński";1,1;
2008000;"Powiat moniecki";0,8;
2009000;"Powiat sejneński";1,5;
2010000;"Powiat siemiatycki";1,1;
2011000;"Powiat sokólski";0,9;
2012000;"Powiat suwalski";1,0;
2013000;"Powiat wysokomazowiecki";1,2;
2014000;"Powiat zambrowski";1,6;
2061000;"Powiat m.Białystok";1,9;
2062000;"Powiat m.Łomża";2,2;
2063000;"Powiat m.Suwałki";2,2;
2200000;"POMORSKIE";1,7;
2201000;"Powiat bytowski";1,5;
2202000;"Powiat chojnicki";1,8;
2203000;"Powiat człuchowski";1,6;
2204000;"Powiat gdański";1,6;
2205000;"Powiat kartuski";1,0;
2206000;"Powiat kościerski";1,3;
2207000;"Powiat kwidzyński";1,4;
2208000;"Powiat lęborski";2,1;
2209000;"Powiat malborski";1,7;
2210000;"Powiat nowodworski";1,6;
2211000;"Powiat pucki";1,2;
2212000;"Powiat słupski";1,8;
2213000;"Powiat starogardzki";1,3;
2214000;"Powiat tczewski";1,5;
2215000;"Powiat wejherowski";1,6;
2216000;"Powiat sztumski";1,2;
2261000;"Powiat m.Gdańsk";2,0;
2262000;"Powiat m.Gdynia";1,8;
2263000;"Powiat m.Słupsk";2,3;
2264000;"Powiat m.Sopot";1,6;
2400000;"ŚLĄSKIE";1,8;
2401000;"Powiat będziński";1,7;
2402000;"Powiat bielski";1,5;
2403000;"Powiat cieszyński";1,8;
2404000;"Powiat częstochowski";1,1;
2405000;"Powiat gliwicki";1,7;
2406000;"Powiat kłobucki";1,2;
2407000;"Powiat lubliniecki";1,3;
2408000;"Powiat mikołowski";1,3;
2409000;"Powiat myszkowski";1,4;
2410000;"Powiat pszczyński";1,5;
2411000;"Powiat raciborski";1,5;
2412000;"Powiat rybnicki";1,4;
2413000;"Powiat tarnogórski";1,9;
2414000;"Powiat bieruńsko-lędziński";1,7;
2415000;"Powiat wodzisławski";1,5;
2416000;"Powiat zawierciański";1,7;
2417000;"Powiat żywiecki";1,2;
2461000;"Powiat m.Bielsko-Biała";2,0;
2462000;"Powiat m.Bytom";2,2;
2463000;"Powiat m.Chorzów";2,1;
2464000;"Powiat m.Częstochowa";2,0;
2465000;"Powiat m.Dąbrowa Górnicza";1,9;
2466000;"Powiat m.Gliwice";2,1;
2467000;"Powiat m.Jastrzębie-Zdrój";1,8;
2468000;"Powiat m.Jaworzno";1,7;
2469000;"Powiat m.Katowice";1,8;
2470000;"Powiat m.Mysłowice";1,4;
2471000;"Powiat m.Piekary Śląskie";2,5;
2472000;"Powiat m.Ruda Śląska";2,1;
2473000;"Powiat m.Rybnik";1,8;
2474000;"Powiat m.Siemianowice Śląskie";2,2;
2475000;"Powiat m.Sosnowiec";2,2;
2476000;"Powiat m.Świętochłowice";1,5;
2477000;"Powiat m.Tychy";1,9;
2478000;"Powiat m.Zabrze";2,2;
2479000;"Powiat m.Żory";2,7;
