"Kod";"Nazwa";"ogółem;2018;[%]";
1411000;"Powiat makowski";16,3;
1412000;"Powiat miński";5,2;
1413000;"Powiat mławski";5,9;
1414000;"Powiat nowodworski";6,0;
1415000;"Powiat ostrołęcki";10,1;
1416000;"Powiat ostrowski";8,5;
1417000;"Powiat otwocki";4,1;
1418000;"Powiat piaseczyński";3,9;
1419000;"Powiat płocki";11,6;
1420000;"Powiat płoński";10,3;
1421000;"Powiat pruszkowski";3,3;
1422000;"Powiat przasnyski";9,6;
1423000;"Powiat przysuski";18,4;
1424000;"Powiat pułtuski";12,5;
1425000;"Powiat radomski";17,4;
1426000;"Powiat siedlecki";5,5;
1427000;"Powiat sierpecki";16,6;
1428000;"Powiat sochaczewski";5,9;
1429000;"Powiat sokołowski";5,6;
1430000;"Powiat szydłowiecki";24,3;
1432000;"Powiat warszawski zachodni";2,0;
1433000;"Powiat węgrowski";6,3;
1434000;"Powiat wołomiński";7,4;
1435000;"Powiat wyszkowski";4,3;
1436000;"Powiat zwoleński";10,8;
1437000;"Powiat żuromiński";14,9;
1438000;"Powiat żyrardowski";10,4;
1461000;"Powiat m.Ostrołęka";9,1;
1462000;"Powiat m.Płock";6,8;
1463000;"Powiat m.Radom";12,1;
1464000;"Powiat m.Siedlce";4,8;
1465000;"Powiat m. st. Warszawa";1,5;
1600000;"OPOLSKIE";6,3;
1601000;"Powiat brzeski";8,9;
1602000;"Powiat głubczycki";9,5;
1603000;"Powiat kędzierzyńsko-kozielski";8,1;
1604000;"Powiat kluczborski";7,6;
1605000;"Powiat krapkowicki";5,4;
1606000;"Powiat namysłowski";7,8;
1607000;"Powiat nyski";7,8;
1608000;"Powiat oleski";4,1;
1609000;"Powiat opolski";6,4;
1610000;"Powiat prudnicki";9,9;
1611000;"Powiat strzelecki";5,1;
1661000;"Powiat m.Opole";3,2;
1800000;"PODKARPACKIE";8,7;
1801000;"Powiat bieszczadzki";13,7;
1802000;"Powiat brzozowski";15,6;
1803000;"Powiat dębicki";5,7;
1804000;"Powiat jarosławski";12,1;
1805000;"Powiat jasielski";9,9;
1806000;"Powiat kolbuszowski";8,2;
1807000;"Powiat krośnieński";6,1;
1808000;"Powiat leżajski";13,5;
1809000;"Powiat lubaczowski";8,9;
1810000;"Powiat łańcucki";10,8;
1811000;"Powiat mielecki";4,4;
1812000;"Powiat niżański";16,7;
1813000;"Powiat przemyski";13,2;
1814000;"Powiat przeworski";12,2;
1815000;"Powiat ropczycko-sędziszowski";11,9;
1816000;"Powiat rzeszowski";8,7;
1817000;"Powiat sanocki";6,8;
1818000;"Powiat stalowowolski";5,5;
1819000;"Powiat strzyżowski";14,0;
1820000;"Powiat tarnobrzeski";6,5;
1821000;"Powiat leski";16,4;
1861000;"Powiat m.Krosno";2,6;
1862000;"Powiat m.Przemyśl";11,2;
1863000;"Powiat m.Rzeszów";5,2;
1864000;"Powiat m.Tarnobrzeg";8,5;
2000000;"PODLASKIE";7,7;
2001000;"Powiat augustowski";9,9;
2002000;"Powiat białostocki";8,6;
2003000;"Powiat bielski";5,4;
2004000;"Powiat grajewski";13,7;
2005000;"Powiat hajnowski";7,7;
2006000;"Powiat kolneński";14,1;
2007000;"Powiat łomżyński";6,8;
2008000;"Powiat moniecki";7,5;
2009000;"Powiat sejneński";12,7;
2010000;"Powiat siemiatycki";7,1;
2011000;"Powiat sokólski";11,1;
2012000;"Powiat suwalski";4,1;
2013000;"Powiat wysokomazowiecki";5,7;
2014000;"Powiat zambrowski";7,5;
2061000;"Powiat m.Białystok";6,2;
2062000;"Powiat m.Łomża";8,6;
2063000;"Powiat m.Suwałki";5,3;
2200000;"POMORSKIE";4,9;
2201000;"Powiat bytowski";9,7;
2202000;"Powiat chojnicki";8,6;
2203000;"Powiat człuchowski";9,8;
2204000;"Powiat gdański";4,1;
2205000;"Powiat kartuski";2,9;
2206000;"Powiat kościerski";6,7;
2207000;"Powiat kwidzyński";5,5;
2208000;"Powiat lęborski";8,8;
2209000;"Powiat malborski";12,6;
2210000;"Powiat nowodworski";13,2;
2211000;"Powiat pucki";7,1;
2212000;"Powiat słupski";6,9;
2213000;"Powiat starogardzki";5,6;
2214000;"Powiat tczewski";6,6;
2215000;"Powiat wejherowski";6,5;
2216000;"Powiat sztumski";9,7;
2261000;"Powiat m.Gdańsk";2,6;
2262000;"Powiat m.Gdynia";2,5;
2263000;"Powiat m.Słupsk";3,5;
2264000;"Powiat m.Sopot";1,8;
2400000;"ŚLĄSKIE";4,3;
2401000;"Powiat będziński";8,0;
2402000;"Powiat bielski";3,2;
2403000;"Powiat cieszyński";4,7;
2404000;"Powiat częstochowski";7,2;
2405000;"Powiat gliwicki";4,8;
2406000;"Powiat kłobucki";7,3;
2407000;"Powiat lubliniecki";5,8;
2408000;"Powiat mikołowski";3,2;
2409000;"Powiat myszkowski";6,1;
2410000;"Powiat pszczyński";3,1;
2411000;"Powiat raciborski";4,1;
2412000;"Powiat rybnicki";5,7;
2413000;"Powiat tarnogórski";5,3;
2414000;"Powiat bieruńsko-lędziński";2,2;
2415000;"Powiat wodzisławski";4,8;
2416000;"Powiat zawierciański";7,4;
2417000;"Powiat żywiecki";6,9;
2461000;"Powiat m.Bielsko-Biała";1,9;
2462000;"Powiat m.Bytom";9,7;
2463000;"Powiat m.Chorzów";4,6;
2464000;"Powiat m.Częstochowa";3,7;
2465000;"Powiat m.Dąbrowa Górnicza";5,0;
2466000;"Powiat m.Gliwice";3,2;
2467000;"Powiat m.Jastrzębie-Zdrój";4,4;
2468000;"Powiat m.Jaworzno";4,2;
2469000;"Powiat m.Katowice";1,7;
2470000;"Powiat m.Mysłowice";5,3;
2471000;"Powiat m.Piekary Śląskie";6,7;
2472000;"Powiat m.Ruda Śląska";2,9;
2473000;"Powiat m.Rybnik";3,5;
2474000;"Powiat m.Siemianowice Śląskie";5,3;
2475000;"Powiat m.Sosnowiec";6,3;
2476000;"Powiat m.Świętochłowice";7,3;
2477000;"Powiat m.Tychy";2,6;
2478000;"Powiat m.Zabrze";5,8;
2479000;"Powiat m.Żory";3,2;
2600000;"ŚWIĘTOKRZYSKIE";8,3;
2601000;"Powiat buski";3,9;
2602000;"Powiat jędrzejowski";7,1;
2603000;"Powiat kazimierski";7,5;
2604000;"Powiat kielecki";10,7;
2605000;"Powiat konecki";11,6;
2606000;"Powiat opatowski";13,6;
2607000;"Powiat ostrowiecki";11,7;
2608000;"Powiat pińczowski";6,6;
2609000;"Powiat sandomierski";6,9;
2610000;"Powiat skarżyski";15,7;
2611000;"Powiat starachowicki";8,0;
2612000;"Powiat staszowski";7,2;
2613000;"Powiat włoszczowski";6,4;
2661000;"Powiat m.Kielce";5,5;
2800000;"WARMIŃSKO-MAZURSKIE";10,4;
2801000;"Powiat bartoszycki";19,2;
2802000;"Powiat braniewski";21,2;
2803000;"Powiat działdowski";15,4;
2804000;"Powiat elbląski";16,1;
2805000;"Powiat ełcki";12,8;
2806000;"Powiat giżycki";9,0;
2807000;"Powiat iławski";4,9;
2808000;"Powiat kętrzyński";18,3;
2809000;"Powiat lidzbarski";14,6;
2810000;"Powiat mrągowski";11,1;
2811000;"Powiat nidzicki";8,5;
2812000;"Powiat nowomiejski";8,0;
2813000;"Powiat olecki";12,0;
2814000;"Powiat olsztyński";10,7;
2815000;"Powiat ostródzki";11,4;
2816000;"Powiat piski";13,3;
2817000;"Powiat szczycieński";9,4;
2818000;"Powiat gołdapski";10,6;
2819000;"Powiat węgorzewski";17,7;
2861000;"Powiat m.Elbląg";8,2;
2862000;"Powiat m.Olsztyn";3,5;
3000000;"WIELKOPOLSKIE";3,2;
3001000;"Powiat chodzieski";6,8;
3002000;"Powiat czarnkowsko-trzcianecki";4,5;
3003000;"Powiat gnieźnieński";4,6;
3004000;"Powiat gostyński";5,4;
3005000;"Powiat grodziski";3,9;
3006000;"Powiat jarociński";3,8;
3007000;"Powiat kaliski";2,3;
3008000;"Powiat kępiński";1,8;
3009000;"Powiat kolski";4,4;
3010000;"Powiat koniński";8,9;
3011000;"Powiat kościański";3,0;
3012000;"Powiat krotoszyński";3,3;
3013000;"Powiat leszczyński";2,8;
3014000;"Powiat międzychodzki";4,6;
3015000;"Powiat nowotomyski";2,0;
3016000;"Powiat obornicki";3,3;
3017000;"Powiat ostrowski";2,8;
3018000;"Powiat ostrzeszowski";4,3;
3019000;"Powiat pilski";4,5;
3020000;"Powiat pleszewski";3,6;
3021000;"Powiat poznański";1,3;
3022000;"Powiat rawicki";4,0;
3023000;"Powiat słupecki";7,7;
3024000;"Powiat szamotulski";3,1;
3025000;"Powiat średzki";5,8;
3026000;"Powiat śremski";1,9;
3027000;"Powiat turecki";4,4;
3028000;"Powiat wągrowiecki";5,7;
3029000;"Powiat wolsztyński";1,4;
3030000;"Powiat wrzesiński";3,2;
3031000;"Powiat złotowski";6,9;
3061000;"Powiat m.Kalisz";2,6;
3062000;"Powiat m.Konin";6,2;
3063000;"Powiat m.Leszno";3,6;
3064000;"Powiat m.Poznań";1,2;
3200000;"ZACHODNIOPOMORSKIE";7,4;
3201000;"Powiat białogardzki";18,7;
3202000;"Powiat choszczeński";16,7;
3203000;"Powiat drawski";13,2;
3204000;"Powiat goleniowski";5,5;
3205000;"Powiat gryficki";9,3;
3206000;"Powiat gryfiński";10,0;
3207000;"Powiat kamieński";15,0;
3208000;"Powiat kołobrzeski";2,5;
3209000;"Powiat koszaliński";12,1;
3210000;"Powiat myśliborski";8,0;
3211000;"Powiat policki";4,0;
3212000;"Powiat pyrzycki";11,7;
3213000;"Powiat sławieński";14,3;
3214000;"Powiat stargardzki";7,9;
3215000;"Powiat szczecinecki";15,4;
3216000;"Powiat świdwiński";14,5;
3217000;"Powiat wałecki";8,7;
3218000;"Powiat łobeski";20,3;
3261000;"Powiat m.Koszalin";5,0;
3262000;"Powiat m.Szczecin";2,6;
3263000;"Powiat m.Świnoujście";4,4;
