"Kod";"Nazwa";"ogółem;2016;[%]";
0000000;"POLSKA";8,2;
0200000;"DOLNOŚLĄSKIE";7,2;
0201000;"Powiat bolesławiecki";5,7;
0202000;"Powiat dzierżoniowski";10,0;
0203000;"Powiat głogowski";10,5;
0204000;"Powiat górowski";18,5;
0205000;"Powiat jaworski";15,8;
0206000;"Powiat jeleniogórski";11,4;
0207000;"Powiat kamiennogórski";10,3;
0208000;"Powiat kłodzki";16,0;
0209000;"Powiat legnicki";13,0;
0210000;"Powiat lubański";11,3;
0211000;"Powiat lubiński";5,9;
0212000;"Powiat lwówecki";16,9;
0213000;"Powiat milicki";9,8;
0214000;"Powiat oleśnicki";8,0;
0215000;"Powiat oławski";7,0;
0216000;"Powiat polkowicki";5,8;
0217000;"Powiat strzeliński";12,3;
0218000;"Powiat średzki";7,3;
0219000;"Powiat świdnicki";8,6;
0220000;"Powiat trzebnicki";7,9;
0221000;"Powiat wałbrzyski";19,3;
0222000;"Powiat wołowski";14,4;
0223000;"Powiat wrocławski";2,7;
0224000;"Powiat ząbkowicki";13,8;
0225000;"Powiat zgorzelecki";7,7;
0226000;"Powiat złotoryjski";18,9;
0261000;"Powiat m.Jelenia Góra";4,6;
0262000;"Powiat m.Legnica";6,7;
0264000;"Powiat m.Wrocław";2,7;
0265000;"Powiat m.Wałbrzych od 2013";9,2;
0400000;"KUJAWSKO-POMORSKIE";12,0;
0401000;"Powiat aleksandrowski";16,9;
0402000;"Powiat brodnicki";9,8;
0403000;"Powiat bydgoski";7,8;
0404000;"Powiat chełmiński";15,7;
0405000;"Powiat golubsko-dobrzyński";13,5;
0406000;"Powiat grudziądzki";16,5;
0407000;"Powiat inowrocławski";16,9;
0408000;"Powiat lipnowski";21,7;
0409000;"Powiat mogileński";13,9;
0410000;"Powiat nakielski";15,7;
0411000;"Powiat radziejowski";20,5;
0412000;"Powiat rypiński";13,8;
0413000;"Powiat sępoleński";17,1;
0414000;"Powiat świecki";10,3;
0415000;"Powiat toruński";13,7;
0416000;"Powiat tucholski";14,9;
0417000;"Powiat wąbrzeski";16,7;
0418000;"Powiat włocławski";22,0;
0419000;"Powiat żniński";15,5;
0461000;"Powiat m.Bydgoszcz";4,8;
0462000;"Powiat m.Grudziądz";13,0;
0463000;"Powiat m.Toruń";6,1;
0464000;"Powiat m.Włocławek";16,4;
0600000;"LUBELSKIE";10,3;
0601000;"Powiat bialski";12,2;
0602000;"Powiat biłgorajski";6,5;
0603000;"Powiat chełmski";15,7;
0604000;"Powiat hrubieszowski";16,1;
0605000;"Powiat janowski";11,2;
