"Kod";"Nazwa";"ogółem;2016;[%]";
0606000;"Powiat krasnostawski";13,7;
0607000;"Powiat kraśnicki";13,3;
0608000;"Powiat lubartowski";13,0;
0609000;"Powiat lubelski";8,5;
0610000;"Powiat łęczyński";6,9;
0611000;"Powiat łukowski";6,5;
0612000;"Powiat opolski";11,7;
0613000;"Powiat parczewski";10,0;
0614000;"Powiat puławski";7,6;
0615000;"Powiat radzyński";10,5;
0616000;"Powiat rycki";11,3;
0617000;"Powiat świdnicki";12,5;
0618000;"Powiat tomaszowski";9,9;
0619000;"Powiat włodawski";19,2;
0620000;"Powiat zamojski";12,1;
0661000;"Powiat m.Biała Podlaska";12,7;
0662000;"Powiat m.Chełm";13,1;
0663000;"Powiat m.Lublin";7,2;
0664000;"Powiat m.Zamość";12,3;
0800000;"LUBUSKIE";8,6;
0801000;"Powiat gorzowski";6,9;
0802000;"Powiat krośnieński";14,3;
0803000;"Powiat międzyrzecki";15,0;
0804000;"Powiat nowosolski";14,2;
0805000;"Powiat słubicki";4,2;
0806000;"Powiat strzelecko-drezdenecki";14,9;
0807000;"Powiat sulęciński";9,7;
0808000;"Powiat świebodziński";7,6;
0809000;"Powiat zielonogórski";9,0;
0810000;"Powiat żagański";14,4;
0811000;"Powiat żarski";8,2;
0812000;"Powiat wschowski";11,1;
0861000;"Powiat m.Gorzów Wielkopolski";3,9;
0862000;"Powiat m.Zielona Góra";4,6;
1000000;"ŁÓDZKIE";8,5;
1001000;"Powiat bełchatowski";7,5;
1002000;"Powiat kutnowski";11,9;
1003000;"Powiat łaski";11,5;
1004000;"Powiat łęczycki";10,6;
1005000;"Powiat łowicki";7,4;
1006000;"Powiat łódzki wschodni";9,2;
1007000;"Powiat opoczyński";8,7;
1008000;"Powiat pabianicki";9,6;
1009000;"Powiat pajęczański";8,4;
1010000;"Powiat piotrkowski";8,0;
1011000;"Powiat poddębicki";9,3;
1012000;"Powiat radomszczański";9,1;
1013000;"Powiat rawski";5,5;
1014000;"Powiat sieradzki";8,1;
1015000;"Powiat skierniewicki";5,0;
1016000;"Powiat tomaszowski";9,3;
1017000;"Powiat wieluński";8,6;
1018000;"Powiat wieruszowski";5,8;
1019000;"Powiat zduńskowolski";9,8;
1020000;"Powiat zgierski";10,2;
1021000;"Powiat brzeziński";10,5;
1061000;"Powiat m.Łódź";7,9;
1062000;"Powiat m.Piotrków Trybunalski";7,4;
1063000;"Powiat m.Skierniewice";7,7;
1200000;"MAŁOPOLSKIE";6,6;
1201000;"Powiat bocheński";6,1;
1202000;"Powiat brzeski";8,0;
1203000;"Powiat chrzanowski";10,4;
1204000;"Powiat dąbrowski";13,9;
1205000;"Powiat gorlicki";8,5;
1206000;"Powiat krakowski";5,7;
1207000;"Powiat limanowski";9,9;
1208000;"Powiat miechowski";6,5;
1209000;"Powiat myślenicki";4,9;
1210000;"Powiat nowosądecki";10,2;
1211000;"Powiat nowotarski";9,5;
1212000;"Powiat olkuski";8,9;
1213000;"Powiat oświęcimski";7,7;
1214000;"Powiat proszowicki";7,9;
1215000;"Powiat suski";5,5;
1216000;"Powiat tarnowski";9,5;
1217000;"Powiat tatrzański";11,5;
1218000;"Powiat wadowicki";6,0;
1219000;"Powiat wielicki";6,4;
1261000;"Powiat m.Kraków";3,5;
1262000;"Powiat m.Nowy Sącz";6,2;
1263000;"Powiat m.Tarnów";7,1;
1400000;"MAZOWIECKIE";7,0;
1401000;"Powiat białobrzeski";10,1;
1402000;"Powiat ciechanowski";13,1;
1403000;"Powiat garwoliński";11,3;
1404000;"Powiat gostyniński";18,5;
1405000;"Powiat grodziski";4,4;
1406000;"Powiat grójecki";3,3;
1407000;"Powiat kozienicki";12,8;
1408000;"Powiat legionowski";10,9;
1409000;"Powiat lipski";12,6;
1410000;"Powiat łosicki";8,2;
1411000;"Powiat makowski";19,1;
1412000;"Powiat miński";6,8;
1413000;"Powiat mławski";9,2;
1414000;"Powiat nowodworski";8,2;
1415000;"Powiat ostrołęcki";14,2;
1416000;"Powiat ostrowski";11,7;
1417000;"Powiat otwocki";5,8;
1418000;"Powiat piaseczyński";5,5;
1419000;"Powiat płocki";15,1;
1420000;"Powiat płoński";12,6;
1421000;"Powiat pruszkowski";5,3;
1422000;"Powiat przasnyski";12,0;
1423000;"Powiat przysuski";21,9;
1424000;"Powiat pułtuski";17,9;
1425000;"Powiat radomski";22,0;
1426000;"Powiat siedlecki";7,4;
1427000;"Powiat sierpecki";19,4;
1428000;"Powiat sochaczewski";8,1;
1429000;"Powiat sokołowski";8,0;
1430000;"Powiat szydłowiecki";28,5;
1432000;"Powiat warszawski zachodni";3,1;
1433000;"Powiat węgrowski";9,7;
1434000;"Powiat wołomiński";11,2;
1435000;"Powiat wyszkowski";6,9;
1436000;"Powiat zwoleński";15,2;
1437000;"Powiat żuromiński";17,3;
1438000;"Powiat żyrardowski";13,0;
1461000;"Powiat m.Ostrołęka";12,5;
1462000;"Powiat m.Płock";8,6;
1463000;"Powiat m.Radom";15,9;
1464000;"Powiat m.Siedlce";6,8;
1465000;"Powiat m. st. Warszawa";2,6;
1600000;"OPOLSKIE";9,0;
1601000;"Powiat brzeski";12,6;
1602000;"Powiat głubczycki";13,4;
1603000;"Powiat kędzierzyńsko-kozielski";10,2;
1604000;"Powiat kluczborski";9,6;
1605000;"Powiat krapkowicki";6,8;
1606000;"Powiat namysłowski";11,6;
1607000;"Powiat nyski";12,0;
1608000;"Powiat oleski";6,5;
1609000;"Powiat opolski";9,1;
1610000;"Powiat prudnicki";13,5;
1611000;"Powiat strzelecki";6,6;
1661000;"Powiat m.Opole";4,9;
1800000;"PODKARPACKIE";11,5;
1801000;"Powiat bieszczadzki";17,9;
1802000;"Powiat brzozowski";18,8;
1803000;"Powiat dębicki";9,3;
1804000;"Powiat jarosławski";14,6;
1805000;"Powiat jasielski";13,2;
1806000;"Powiat kolbuszowski";11,5;
1807000;"Powiat krośnieński";10,1;
1808000;"Powiat leżajski";15,5;
1809000;"Powiat lubaczowski";11,8;
1810000;"Powiat łańcucki";14,4;
1811000;"Powiat mielecki";7,4;
1812000;"Powiat niżański";19,2;
1813000;"Powiat przemyski";16,7;
1814000;"Powiat przeworski";15,6;
1815000;"Powiat ropczycko-sędziszowski";13,1;
1816000;"Powiat rzeszowski";10,9;
1817000;"Powiat sanocki";8,9;
1818000;"Powiat stalowowolski";7,0;
1819000;"Powiat strzyżowski";17,7;
1820000;"Powiat tarnobrzeski";10,1;
1821000;"Powiat leski";20,5;
1861000;"Powiat m.Krosno";4,8;
1862000;"Powiat m.Przemyśl";14,0;
1863000;"Powiat m.Rzeszów";6,6;
1864000;"Powiat m.Tarnobrzeg";11,7;
2000000;"PODLASKIE";10,3;
2001000;"Powiat augustowski";12,2;
2002000;"Powiat białostocki";12,1;
2003000;"Powiat bielski";6,9;
2004000;"Powiat grajewski";17,3;
2005000;"Powiat hajnowski";9,9;
2006000;"Powiat kolneński";16,6;
2007000;"Powiat łomżyński";10,3;
2008000;"Powiat moniecki";9,3;
2009000;"Powiat sejneński";15,7;
2010000;"Powiat siemiatycki";9,3;
2011000;"Powiat sokólski";13,0;
2012000;"Powiat suwalski";6,2;
2013000;"Powiat wysokomazowiecki";6,8;
2014000;"Powiat zambrowski";10,5;
2061000;"Powiat m.Białystok";8,9;
2062000;"Powiat m.Łomża";12,0;
2063000;"Powiat m.Suwałki";7,5;
2200000;"POMORSKIE";7,1;
2201000;"Powiat bytowski";14,4;
2202000;"Powiat chojnicki";12,3;
2203000;"Powiat człuchowski";15,3;
2204000;"Powiat gdański";5,4;
2205000;"Powiat kartuski";4,1;
2206000;"Powiat kościerski";8,6;
2207000;"Powiat kwidzyński";8,4;
2208000;"Powiat lęborski";10,6;
2209000;"Powiat malborski";15,7;
2210000;"Powiat nowodworski";18,2;
2211000;"Powiat pucki";9,9;
2212000;"Powiat słupski";11,9;
2213000;"Powiat starogardzki";8,6;
2214000;"Powiat tczewski";7,5;
2215000;"Powiat wejherowski";9,7;
2216000;"Powiat sztumski";14,2;
2261000;"Powiat m.Gdańsk";3,5;
2262000;"Powiat m.Gdynia";3,8;
2263000;"Powiat m.Słupsk";5,8;
2264000;"Powiat m.Sopot";2,8;
2400000;"ŚLĄSKIE";6,6;
2401000;"Powiat będziński";11,5;
2402000;"Powiat bielski";5,2;
2403000;"Powiat cieszyński";6,1;
2404000;"Powiat częstochowski";11,0;
2405000;"Powiat gliwicki";6,9;
2406000;"Powiat kłobucki";9,1;
2407000;"Powiat lubliniecki";8,6;
2408000;"Powiat mikołowski";4,1;
2409000;"Powiat myszkowski";11,2;
2410000;"Powiat pszczyński";4,2;
2411000;"Powiat raciborski";6,1;
2412000;"Powiat rybnicki";9,0;
2413000;"Powiat tarnogórski";7,9;
2414000;"Powiat bieruńsko-lędziński";3,7;
2415000;"Powiat wodzisławski";8,1;
2416000;"Powiat zawierciański";11,3;
2417000;"Powiat żywiecki";8,5;
2461000;"Powiat m.Bielsko-Biała";3,1;
2462000;"Powiat m.Bytom";15,4;
2463000;"Powiat m.Chorzów";7,4;
2464000;"Powiat m.Częstochowa";6,2;
2465000;"Powiat m.Dąbrowa Górnicza";8,0;
2466000;"Powiat m.Gliwice";4,3;
2467000;"Powiat m.Jastrzębie-Zdrój";7,3;
2468000;"Powiat m.Jaworzno";5,8;
2469000;"Powiat m.Katowice";2,8;
2470000;"Powiat m.Mysłowice";6,1;
2471000;"Powiat m.Piekary Śląskie";9,5;
2472000;"Powiat m.Ruda Śląska";5,3;
2473000;"Powiat m.Rybnik";5,9;
2474000;"Powiat m.Siemianowice Śląskie";8,0;
2475000;"Powiat m.Sosnowiec";10,0;
2476000;"Powiat m.Świętochłowice";10,0;
2477000;"Powiat m.Tychy";3,4;
2478000;"Powiat m.Zabrze";7,9;
2479000;"Powiat m.Żory";6,3;
2600000;"ŚWIĘTOKRZYSKIE";10,8;
2601000;"Powiat buski";5,6;
2602000;"Powiat jędrzejowski";10,0;
2603000;"Powiat kazimierski";9,6;
2604000;"Powiat kielecki";13,6;
2605000;"Powiat konecki";14,0;
2606000;"Powiat opatowski";16,5;
2607000;"Powiat ostrowiecki";14,6;
2608000;"Powiat pińczowski";7,6;
2609000;"Powiat sandomierski";8,6;
2610000;"Powiat skarżyski";19,6;
2611000;"Powiat starachowicki";10,6;
2612000;"Powiat staszowski";9,2;
2613000;"Powiat włoszczowski";8,5;
2661000;"Powiat m.Kielce";7,6;
2800000;"WARMIŃSKO-MAZURSKIE";14,2;
2801000;"Powiat bartoszycki";23,4;
2802000;"Powiat braniewski";25,3;
2803000;"Powiat działdowski";19,1;
2804000;"Powiat elbląski";20,8;
2805000;"Powiat ełcki";17,1;
2806000;"Powiat giżycki";14,2;
2807000;"Powiat iławski";6,0;
2808000;"Powiat kętrzyński";23,8;
2809000;"Powiat lidzbarski";20,2;
2810000;"Powiat mrągowski";15,3;
2811000;"Powiat nidzicki";11,7;
2812000;"Powiat nowomiejski";10,6;
2813000;"Powiat olecki";16,3;
2814000;"Powiat olsztyński";15,3;
2815000;"Powiat ostródzki";14,7;
2816000;"Powiat piski";21,2;
2817000;"Powiat szczycieński";14,3;
2818000;"Powiat gołdapski";17,1;
2819000;"Powiat węgorzewski";22,9;
2861000;"Powiat m.Elbląg";11,3;
2862000;"Powiat m.Olsztyn";5,1;
3000000;"WIELKOPOLSKIE";4,9;
3001000;"Powiat chodzieski";9,9;
3002000;"Powiat czarnkowsko-trzcianecki";7,0;
3003000;"Powiat gnieźnieński";7,7;
3004000;"Powiat gostyński";7,2;
3005000;"Powiat grodziski";5,0;
3006000;"Powiat jarociński";5,9;
3007000;"Powiat kaliski";4,2;
3008000;"Powiat kępiński";2,1;
3009000;"Powiat kolski";10,0;
3010000;"Powiat koniński";14,1;
3011000;"Powiat kościański";4,8;
3012000;"Powiat krotoszyński";4,9;
3013000;"Powiat leszczyński";4,2;
3014000;"Powiat międzychodzki";5,4;
3015000;"Powiat nowotomyski";3,0;
3016000;"Powiat obornicki";6,1;
3017000;"Powiat ostrowski";4,5;
3018000;"Powiat ostrzeszowski";5,6;
3019000;"Powiat pilski";6,9;
3020000;"Powiat pleszewski";5,4;
3021000;"Powiat poznański";2,2;
3022000;"Powiat rawicki";5,8;
3023000;"Powiat słupecki";9,5;
3024000;"Powiat szamotulski";4,8;
3025000;"Powiat średzki";9,3;
3026000;"Powiat śremski";3,9;
3027000;"Powiat turecki";5,2;
3028000;"Powiat wągrowiecki";8,6;
3029000;"Powiat wolsztyński";2,5;
3030000;"Powiat wrzesiński";6,3;
3031000;"Powiat złotowski";9,6;
3061000;"Powiat m.Kalisz";4,6;
3062000;"Powiat m.Konin";10,6;
3063000;"Powiat m.Leszno";4,8;
3064000;"Powiat m.Poznań";1,9;
3200000;"ZACHODNIOPOMORSKIE";10,9;
3201000;"Powiat białogardzki";22,3;
3202000;"Powiat choszczeński";20,9;
3203000;"Powiat drawski";17,7;
3204000;"Powiat goleniowski";8,0;
3205000;"Powiat gryficki";16,3;
3206000;"Powiat gryfiński";14,4;
3207000;"Powiat kamieński";18,9;
3208000;"Powiat kołobrzeski";7,6;
3209000;"Powiat koszaliński";16,9;
3210000;"Powiat myśliborski";10,9;
3211000;"Powiat policki";7,7;
3212000;"Powiat pyrzycki";17,1;
3213000;"Powiat sławieński";18,0;
3214000;"Powiat stargardzki";11,1;
3215000;"Powiat szczecinecki";20,1;
3216000;"Powiat świdwiński";17,8;
3217000;"Powiat wałecki";12,5;
3218000;"Powiat łobeski";23,7;
3261000;"Powiat m.Koszalin";6,8;
3262000;"Powiat m.Szczecin";4,7;
3263000;"Powiat m.Świnoujście";5,7;
