"Kod";"Nazwa";"ogółem;2018;[-]";
0000000;"POLSKA";1,6;
0200000;"DOLNOŚLĄSKIE";1,9;
0201000;"Powiat bolesławiecki";1,9;
0202000;"Powiat dzierżoniowski";1,8;
0203000;"Powiat głogowski";1,8;
0204000;"Powiat górowski";1,8;
0205000;"Powiat jaworski";1,5;
0206000;"Powiat jeleniogórski";1,8;
0207000;"Powiat kamiennogórski";1,7;
0208000;"Powiat kłodzki";1,9;
0209000;"Powiat legnicki";1,8;
0210000;"Powiat lubański";1,6;
0211000;"Powiat lubiński";1,9;
0212000;"Powiat lwówecki";1,4;
0213000;"Powiat milicki";1,8;
0214000;"Powiat oleśnicki";2,0;
0215000;"Powiat oławski";2,4;
0216000;"Powiat polkowicki";1,7;
0217000;"Powiat strzeliński";1,6;
0218000;"Powiat średzki";1,9;
0219000;"Powiat świdnicki";1,9;
0220000;"Powiat trzebnicki";2,0;
0221000;"Powiat wałbrzyski";1,8;
0222000;"Powiat wołowski";2,0;
0223000;"Powiat wrocławski";1,7;
0224000;"Powiat ząbkowicki";1,6;
0225000;"Powiat zgorzelecki";2,0;
0226000;"Powiat złotoryjski";1,4;
0261000;"Powiat m.Jelenia Góra";2,0;
0262000;"Powiat m.Legnica";1,7;
0264000;"Powiat m.Wrocław";2,2;
0265000;"Powiat m.Wałbrzych od 2013";2,1;
0400000;"KUJAWSKO-POMORSKIE";1,6;
0401000;"Powiat aleksandrowski";0,9;
0402000;"Powiat brodnicki";1,7;
0403000;"Powiat bydgoski";1,7;
0404000;"Powiat chełmiński";2,1;
0405000;"Powiat golubsko-dobrzyński";1,5;
0406000;"Powiat grudziądzki";1,4;
0407000;"Powiat inowrocławski";1,5;
0408000;"Powiat lipnowski";0,9;
0409000;"Powiat mogileński";1,3;
0410000;"Powiat nakielski";1,4;
0411000;"Powiat radziejowski";0,7;
0412000;"Powiat rypiński";0,8;
0413000;"Powiat sępoleński";1,1;
0414000;"Powiat świecki";1,6;
0415000;"Powiat toruński";1,6;
0416000;"Powiat tucholski";1,2;
0417000;"Powiat wąbrzeski";1,8;
0418000;"Powiat włocławski";0,8;
0419000;"Powiat żniński";1,4;
0461000;"Powiat m.Bydgoszcz";1,8;
0462000;"Powiat m.Grudziądz";2,2;
0463000;"Powiat m.Toruń";2,0;
0464000;"Powiat m.Włocławek";1,5;
